Station_ID,Id,Train_Period,Test_Period,Same_Period,N_Test,RMSE,MAE,NSE,KGE,Persistence_Index
SW91.9R,10,BEFORE,BEFORE,True,212,0.10317936320100876,0.07317405660377341,0.9968452051450036,0.9967864046750257,-0.4944695868096438
SW91.9R,10,BEFORE,DURING,False,2473,0.21017890285183782,0.13378267286696188,0.9915012635633569,0.9469081512344916,-3.4161420983962802
SW91.9R,10,BEFORE,AFTER,False,1285,0.42275741678127915,0.25975883268482486,0.9642186041223922,0.90345591927518,-14.683096325748815
SW91.9R,10,DURING,BEFORE,False,1062,0.10760995963836678,0.08271864406779648,0.9973481329726854,0.9721779015635226,-0.6266146533252108
SW91.9R,10,DURING,DURING,True,495,0.11541043457630241,0.08146272727272756,0.9974678147593675,0.9908199079738037,0.022710428895405754
SW91.9R,10,DURING,AFTER,False,1285,0.23908490064400406,0.17180217898832695,0.9885559668724004,0.9516635197986175,-4.015955065283601
SW91.9R,10,AFTER,BEFORE,False,1062,0.13617281993095173,0.1042026365348406,0.9957535338289052,0.9780070673308308,-1.6047173661446679
SW91.9R,10,AFTER,DURING,False,2473,0.21914811154968722,0.14703671653861672,0.9907604337260287,0.9704687687723121,-3.801094597719228
SW91.9R,10,AFTER,AFTER,True,257,0.6861045360916402,0.5524994163424122,0.8476273514095015,0.7590544161613488,-29.904037257644234
SW91.9L,11,BEFORE,BEFORE,True,212,0.09372240191268762,0.07311674528301945,0.9974455858436719,0.9895987751024053,-0.2888873113926287
SW91.9L,11,BEFORE,DURING,False,2473,0.15874391965329218,0.11052003639304492,0.9948716219691729,0.9771269042703625,-1.8880125497025344
SW91.9L,11,BEFORE,AFTER,False,1285,0.3872088881473555,0.2276720233463035,0.966759818587468,0.9602611281651506,-14.191447787647254
SW91.9L,11,DURING,BEFORE,False,1062,0.08560813316904652,0.0646641713747642,0.9983391499698372,0.9865744870339853,-0.05117840111017147
SW91.9L,11,DURING,DURING,True,495,0.09971990374052829,0.0709478787878788,0.9979684722838809,0.9933880630751889,0.16091756217717912
SW91.9L,11,DURING,AFTER,False,1285,0.20393268916034876,0.15581556420233475,0.99077967048484,0.9676631897006711,-3.213880564491988
SW91.9L,11,AFTER,BEFORE,False,1062,0.1432470775724605,0.10787095103578087,0.9953497970580332,0.9558203607980456,-1.9431874068096011
SW91.9L,11,AFTER,DURING,False,2473,0.22048706773187204,0.14321089769510678,0.9901064517633784,0.9475492232478847,-4.571486988029645
SW91.9L,11,AFTER,AFTER,True,257,0.5039104836333177,0.39575894941634243,0.9080861908483508,0.8087315685114671,-17.328584273978368
SW93.4L,12,BEFORE,BEFORE,True,212,0.11541150687782908,0.09019386792452792,0.9939251940065266,0.9860597032497579,-1.1522873285060768
SW93.4L,12,BEFORE,DURING,False,2473,0.22925233278759927,0.16697727456530498,0.9800310132699638,0.9384012976463318,-5.79964797353852
SW93.4L,12,BEFORE,AFTER,False,1285,0.3435098210978269,0.258549883268482,0.9480172363615845,0.9324235164653699,-11.592387150058505
SW93.4L,12,DURING,BEFORE,False,1062,0.13818811453956514,0.10850687382297539,0.9930959625666045,0.9449971132201268,-1.835636372661424
SW93.4L,12,DURING,DURING,True,495,0.11484594879465901,0.0865617171717172,0.9941298694271018,0.9627172053387867,-0.49145585779554346
SW93.4L,12,DURING,AFTER,False,1285,0.09587610899626989,0.07209035019455269,0.9959504958417287,0.9909830468297977,0.019041686944097136
SW93.4L,12,AFTER,BEFORE,False,1062,0.26409245360539524,0.20369025423728768,0.9747841427131618,0.8784975625098659,-9.356693859238169
SW93.4L,12,AFTER,DURING,False,2473,0.2239528660388963,0.14147310958350157,0.980943560930099,0.9304941731454937,-5.488915990394756
SW93.4L,12,AFTER,AFTER,True,257,0.36648758124685565,0.299636770428015,0.916994677475444,0.8142959864970525,-13.105295371240535
SW93.5L,13,BEFORE,BEFORE,True,210,0.07492216882173333,0.05844666666666617,0.9970253409310063,0.9898693289169884,0.0012712107091539249
SW93.5L,13,BEFORE,DURING,False,2473,0.12924148899153434,0.0799242215932068,0.9931775776860174,0.9888718766341812,-1.2756563197431632
SW93.5L,13,BEFORE,AFTER,False,1285,0.1906681465809713,0.11966536964980616,0.9834049236456603,0.9749520890285907,-3.074248179399987
SW93.5L,13,DURING,BEFORE,False,1048,0.054076604291313904,0.040728435114503636,0.9987768336622108,0.9919353257590002,0.5292621645699955
SW93.5L,13,DURING,DURING,True,495,0.04806636820610886,0.033766565656565495,0.9989104009910135,0.9935351585459844,0.7310337875229123
SW93.5L,13,DURING,AFTER,False,1285,0.049959259277421765,0.036731906614786154,0.9988606557986157,0.9856627465412537,0.7202802241409367
SW93.5L,13,AFTER,BEFORE,False,1048,0.09420609763230163,0.06022786259541964,0.996287856779608,0.9748671197464641,-0.4286252085157165
SW93.5L,13,AFTER,DURING,False,2473,0.1612642692320084,0.07264407602102661,0.989377884995077,0.9606402253349694,-2.543064622436347
SW93.5L,13,AFTER,AFTER,True,257,0.15759626728775986,0.1271634241245139,0.9836214830198946,0.9177318916521985,-1.8288432680375855
SW95,15,BEFORE,BEFORE,True,210,0.1129240310900164,0.08442261904761895,0.9892704872816622,0.9853859223918124,-0.66597345246982
SW95,15,BEFORE,DURING,False,2473,0.19860800186745353,0.14702881116053373,0.970141530807289,0.9551423161492276,-3.7053405853709096
SW95,15,BEFORE,AFTER,False,1277,0.403827054006747,0.3624865700861393,0.8559680175332083,0.8000086984086646,-14.309569693254916
SW95,15,DURING,BEFORE,False,1048,0.11016377940132936,0.08365696564885505,0.9921950967943838,0.9448048391311996,-0.5252118492846813
SW95,15,DURING,DURING,True,495,0.25384972029716635,0.222658181818182,0.9453216560418021,0.8664878409135666,-5.691766178907848
SW95,15,DURING,AFTER,False,1277,0.31230329320697997,0.2867436570086141,0.9138567516069457,0.8443476765430775,-8.156411251791958
SW95,15,AFTER,BEFORE,False,1048,0.3004043391377785,0.26364899809160314,0.9419633587542253,0.8038384981445995,-10.341354349794345
SW95,15,AFTER,DURING,False,2473,0.29790989643354415,0.25512883137889214,0.9328193943187704,0.8312121264969256,-9.586866607979253
SW95,15,AFTER,AFTER,True,255,0.21052126405103855,0.1741837254901961,0.9309873816314648,0.8288256028904479,-4.017490972962179
