Id,Station_ID,ADF_Statistic,ADF_p,KPSS_Statistic,KPSS_p,ADF_Rejects_Unit_Root,KPSS_Rejects_Stationary
1,SW88A,-7.3690657449983,9.072582362084619e-11,0.18256071803904964,0.1,True,False
2,SW88,-7.489180284435748,4.5533642208738975e-11,0.04786738677556037,0.1,True,False
3,SW89,-7.248127949251234,1.8095775273093707e-10,0.07007238742102542,0.1,True,False
4,SW90,-7.489683988505282,4.5401867267717766e-11,0.028076997397104106,0.1,True,False
5,SW91,-7.6282130557358645,2.0416711197387754e-11,0.024480513582453945,0.1,True,False
6,SW91.1,-7.109760528181374,3.9670884871221644e-10,0.11905097526868588,0.1,True,False
7,SW91.2,-7.032836199836113,6.12225421442601e-10,0.028187046473335173,0.1,True,False
8,SW46.9L,-6.170445122404516,6.825776573742275e-08,0.021698008397983443,0.1,True,False
9,SW50.6,-6.783392295771874,2.4667545891280565e-09,0.01823070542452454,0.1,True,False
10,SW91.9R,-6.794742003545803,2.3162999861207877e-09,0.023089141665018468,0.1,True,False
11,SW91.9L,-6.869321455505058,1.5300182324917544e-09,0.023268692207435212,0.1,True,False
12,SW93.4L,-6.5983791896799495,6.833672617570191e-09,0.026947750563027117,0.1,True,False
13,SW93.5L,-6.620702211986708,6.047410446398599e-09,0.019531276589869622,0.1,True,False
14,SW94,-5.221519005606218,7.944919146746652e-06,0.8009628472751864,0.01,True,True
15,SW95,-6.994061879271588,7.613554076503666e-10,0.3445259336578103,0.1,True,False
16,SW273,-7.250886346314728,1.7813826131946872e-10,0.02950667794050538,0.1,True,False
17,SW277,-6.922897802488893,1.1344663301509643e-09,0.06368136925776982,0.1,True,False
