Id,Station_ID,Period,N,Mean,SD,Min,Q1,Median,Q3,Max,IQR,Range,Skewness,Kurtosis,CV,Danger_Level,N_Days_Above_DL,Pct_Days_Above_DL,Lag1_ACF,Mean_Abs_Daily_Change
10,SW91.9R,BEFORE,1418,4.320860366713681,2.1472787180475583,1.48,2.1725,3.965,6.4975000000000005,8.41,4.325000000000001,6.93,0.2775919475081709,-1.4021586436865592,0.49695628550957205,7.499999999999999,103,7.26,0.9991179527731181,0.06350741002117148
10,SW91.9R,DURING,2769,4.276955579631636,2.2542255789550287,1.25,2.11,3.72,6.47,9.08,4.359999999999999,7.83,0.3497261828921366,-1.3125626163762278,0.5270631263252867,7.499999999999999,262,9.46,0.9990035470049214,0.07079118497109828
10,SW91.9R,AFTER,1285,4.328365758754864,2.2357932879049787,1.12,2.12,3.88,6.6,8.05,4.4799999999999995,6.930000000000001,0.10201636273937022,-1.5868729748112427,0.5165444448364148,7.499999999999999,69,5.37,0.9988634627970067,0.07493769470404985
11,SW91.9L,BEFORE,1380,4.4558768115942025,2.1334654590974025,1.58,2.35,4.16,6.57,8.37,4.220000000000001,6.789999999999999,0.25154669396035867,-1.4113471804914564,0.47879812420893686,7.6,102,7.39,0.9991244707031208,0.06248730964467005
11,SW91.9L,DURING,2769,4.356124954857349,2.1929401734481586,1.36,2.24,3.82,6.52,8.93,4.279999999999999,7.569999999999999,0.3253318585484642,-1.3511915839469757,0.5034153510685901,7.6,223,8.05,0.9990868690607151,0.0657514450867052
11,SW91.9L,AFTER,1285,4.365571984435798,2.1246269059665974,1.3,2.25,3.97,6.55,7.81,4.3,6.51,0.07797847150264116,-1.6032542931158278,0.48667778553219343,7.6,21,1.63,0.9989118412408089,0.06968068535825545
12,SW93.4L,BEFORE,1418,2.7768970380818057,1.6898946919388262,0.4,1.18,2.43,4.4775,5.99,3.2975000000000003,5.59,0.3564086315814578,-1.3557618137125962,0.6085550413875457,5.85,5,0.35,0.9987139453413765,0.06588567395906846
12,SW93.4L,DURING,2769,2.59346334416757,1.6069341126017869,0.35,1.12,2.16,4.15,6.35,3.0300000000000002,6.0,0.45626817129805913,-1.1547849296823858,0.6196093406199918,5.85,41,1.48,0.9984680315594044,0.06815390173410404
12,SW93.4L,AFTER,1285,2.5877198443579768,1.5072265226602695,0.3,1.13,2.18,4.14,5.29,3.01,4.99,0.1664484185341309,-1.5559291793073855,0.582453516344316,5.85,0,0.0,0.9979415212732202,0.07366043613707166
13,SW93.5L,BEFORE,1404,2.6034957264957264,1.5775039512799613,0.357,1.127,2.252,4.2195,5.567,3.0925000000000002,5.21,0.34438474559661697,-1.3766796341044303,0.6059176265302584,5.74,0,0.0,0.9986246494409651,0.06433357091945832
13,SW93.5L,DURING,2769,2.481076561935717,1.5507849061236727,0.307,1.05,2.067,3.977,6.087,2.9269999999999996,5.779999999999999,0.441363034834083,-1.1770312731885315,0.6250451638274968,5.74,23,0.83,0.9984334899038352,0.06677492774566475
13,SW93.5L,AFTER,1285,2.5012062256809338,1.480667587066051,0.23,1.07,2.12,4.03,5.03,2.96,4.8,0.15332434463759043,-1.5651355130405533,0.5919814095548842,5.74,0,0.0,0.9979673953137255,0.07207165109034268
15,SW95,BEFORE,1418,1.4212059238363894,1.2615695878114623,-0.52,0.26,1.17,2.68,3.71,2.42,4.23,0.3182681260861826,-1.3472573269144428,0.8876754358059483,3.46,77,5.43,0.9974479754297885,0.06991531404375441
15,SW95,DURING,2769,1.346338028169014,1.1493027019565292,-0.6,0.32,1.11,2.45,4.01,2.1300000000000003,4.609999999999999,0.318700960471172,-1.2011981678165153,0.8536509241438809,3.46,85,3.07,0.9967595519427738,0.07032153179190753
15,SW95,AFTER,1277,1.8359906029757243,1.0644764382953347,-0.19,0.9,1.71,2.88,3.71,1.98,3.9,0.004506832722564605,-1.4279475121179765,0.5797831625990132,3.46,22,1.72,0.9952918780839947,0.07702978056426332
