Station_ID,Stratum,Feature_Set,Task,max_features,min_samples_leaf,OOB_Score,Selected
SW91.9R,AFTER,stage_only,classification,0.33,5,0.9795719844357976,True
SW91.9R,AFTER,hydromet,regression,sqrt,1,0.99862992346082,False
SW91.9R,AFTER,hydromet,regression,sqrt,5,0.9979682137583442,False
SW91.9R,AFTER,hydromet,regression,0.33,1,0.9990672680030905,True
SW91.9R,AFTER,hydromet,regression,0.33,5,0.9987762587591058,False
SW91.9R,AFTER,hydromet,classification,sqrt,1,0.9766536964980544,False
SW91.9R,AFTER,hydromet,classification,sqrt,5,0.9766536964980544,False
SW91.9R,AFTER,hydromet,classification,0.33,1,0.9815175097276264,True
SW91.9R,AFTER,hydromet,classification,0.33,5,0.980544747081712,False
SW91.9R,AFTER,full_multivariate,regression,sqrt,1,0.9986589074310686,False
SW91.9R,AFTER,full_multivariate,regression,sqrt,5,0.9979797645944702,False
SW91.9R,AFTER,full_multivariate,regression,0.33,1,0.9989669501427311,True
SW91.9R,AFTER,full_multivariate,regression,0.33,5,0.9987199009907366,False
SW91.9R,AFTER,full_multivariate,classification,sqrt,1,0.980544747081712,False
SW91.9R,AFTER,full_multivariate,classification,sqrt,5,0.9766536964980544,False
SW91.9R,AFTER,full_multivariate,classification,0.33,1,0.9795719844357976,False
SW91.9R,AFTER,full_multivariate,classification,0.33,5,0.9815175097276264,True
SW91.9R,AFTER,forecast_safe,regression,sqrt,1,0.9979157190664739,False
SW91.9R,AFTER,forecast_safe,regression,sqrt,5,0.9970668960684752,False
SW91.9R,AFTER,forecast_safe,regression,0.33,1,0.9984175470676626,True
SW91.9R,AFTER,forecast_safe,regression,0.33,5,0.9980437092536263,False
SW91.9R,AFTER,forecast_safe,classification,sqrt,1,0.9747081712062257,True
SW91.9R,AFTER,forecast_safe,classification,sqrt,5,0.9688715953307393,False
SW91.9R,AFTER,forecast_safe,classification,0.33,1,0.9708171206225681,False
SW91.9R,AFTER,forecast_safe,classification,0.33,5,0.9717898832684825,False
SW91.9R,ALL,stage_only,regression,sqrt,1,0.9989790864020729,False
SW91.9R,ALL,stage_only,regression,sqrt,5,0.9985275192789503,False
SW91.9R,ALL,stage_only,regression,0.33,1,0.9992270382103974,True
SW91.9R,ALL,stage_only,regression,0.33,5,0.99907712570682,False
SW91.9R,ALL,stage_only,classification,sqrt,1,0.9771784232365145,False
SW91.9R,ALL,stage_only,classification,sqrt,5,0.9771784232365145,False
SW91.9R,ALL,stage_only,classification,0.33,1,0.97951244813278,True
SW91.9R,ALL,stage_only,classification,0.33,5,0.979253112033195,False
SW91.9R,ALL,hydromet,regression,sqrt,1,0.9989177421363585,False
SW91.9R,ALL,hydromet,regression,sqrt,5,0.998619001927483,False
SW91.9R,ALL,hydromet,regression,0.33,1,0.9992420115242181,True
SW91.9R,ALL,hydromet,regression,0.33,5,0.9991532971165509,False
SW91.9R,ALL,hydromet,classification,sqrt,1,0.9769190871369294,False
SW91.9R,ALL,hydromet,classification,sqrt,5,0.975103734439834,False
SW91.9R,ALL,hydromet,classification,0.33,1,0.9771784232365145,True
SW91.9R,ALL,hydromet,classification,0.33,5,0.9766597510373444,False
SW91.9R,ALL,full_multivariate,regression,sqrt,1,0.9989161697119467,False
SW91.9R,ALL,full_multivariate,regression,sqrt,5,0.9985376740727345,False
SW91.9R,ALL,full_multivariate,regression,0.33,1,0.9992447494265376,True
SW91.9R,ALL,full_multivariate,regression,0.33,5,0.9991384516525257,False
SW91.9R,ALL,full_multivariate,classification,sqrt,1,0.9787344398340249,False
SW91.9R,ALL,full_multivariate,classification,sqrt,5,0.9758817427385892,False
SW91.9R,ALL,full_multivariate,classification,0.33,1,0.979253112033195,True
SW91.9R,ALL,full_multivariate,classification,0.33,5,0.9784751037344398,False
SW91.9R,ALL,forecast_safe,regression,sqrt,1,0.9982506135149644,False
SW91.9R,ALL,forecast_safe,regression,sqrt,5,0.997845741359902,False
SW91.9R,ALL,forecast_safe,regression,0.33,1,0.998856091986892,True
SW91.9R,ALL,forecast_safe,regression,0.33,5,0.9987003780406783,False
SW91.9R,ALL,forecast_safe,classification,sqrt,1,0.9719917012448133,False
SW91.9R,ALL,forecast_safe,classification,sqrt,5,0.9701763485477178,False
SW91.9R,ALL,forecast_safe,classification,0.33,1,0.9761410788381742,True
SW91.9R,ALL,forecast_safe,classification,0.33,5,0.9712136929460581,False
SW91.9L,BEFORE,stage_only,regression,sqrt,1,0.9991142525226786,False
SW91.9L,BEFORE,stage_only,regression,sqrt,5,0.9985169831903367,False
SW91.9L,BEFORE,stage_only,regression,0.33,1,0.9994269724067523,True
SW91.9L,BEFORE,stage_only,regression,0.33,5,0.9991653369072706,False
SW91.9L,BEFORE,stage_only,classification,sqrt,1,0.9870588235294118,False
SW91.9L,BEFORE,stage_only,classification,sqrt,5,0.9858823529411764,False
SW91.9L,BEFORE,stage_only,classification,0.33,1,0.9905882352941177,True
SW91.9L,BEFORE,stage_only,classification,0.33,5,0.9870588235294118,False
SW91.9L,BEFORE,hydromet,regression,sqrt,1,0.9990306109839535,False
SW91.9L,BEFORE,hydromet,regression,sqrt,5,0.9983702703511544,False
SW91.9L,BEFORE,hydromet,regression,0.33,1,0.9995971191763602,True
SW91.9L,BEFORE,hydromet,regression,0.33,5,0.9994264128555713,False
SW91.9L,BEFORE,hydromet,classification,sqrt,1,0.9858823529411764,False
SW91.9L,BEFORE,hydromet,classification,sqrt,5,0.98,False
SW91.9L,BEFORE,hydromet,classification,0.33,1,0.9929411764705882,True
SW91.9L,BEFORE,hydromet,classification,0.33,5,0.9882352941176471,False
SW91.9L,BEFORE,full_multivariate,regression,sqrt,1,0.9989507864678898,False
SW91.9L,BEFORE,full_multivariate,regression,sqrt,5,0.9985732471999483,False
SW91.9L,BEFORE,full_multivariate,regression,0.33,1,0.9995514618746054,True
SW91.9L,BEFORE,full_multivariate,regression,0.33,5,0.9994354159838827,False
SW91.9L,BEFORE,full_multivariate,classification,sqrt,1,0.9847058823529412,False
SW91.9L,BEFORE,full_multivariate,classification,sqrt,5,0.9823529411764705,False
SW91.9L,BEFORE,full_multivariate,classification,0.33,1,0.9905882352941177,True
SW91.9L,BEFORE,full_multivariate,classification,0.33,5,0.9870588235294118,False
SW91.9L,BEFORE,forecast_safe,regression,sqrt,1,0.9982796042585135,False
SW91.9L,BEFORE,forecast_safe,regression,sqrt,5,0.9973437361331825,False
SW91.9L,BEFORE,forecast_safe,regression,0.33,1,0.9986531857074882,True
SW91.9L,BEFORE,forecast_safe,regression,0.33,5,0.9983826712668473,False
SW91.9L,BEFORE,forecast_safe,classification,sqrt,1,0.98,True
SW91.9L,BEFORE,forecast_safe,classification,sqrt,5,0.9764705882352941,False
SW91.9L,BEFORE,forecast_safe,classification,0.33,1,0.9788235294117648,False
SW91.9L,BEFORE,forecast_safe,classification,0.33,5,0.9776470588235294,False
SW91.9L,DURING,stage_only,regression,sqrt,1,0.9992353599394199,False
SW91.9L,DURING,stage_only,regression,sqrt,5,0.9989004943397417,False
SW91.9L,DURING,stage_only,regression,0.33,1,0.9994617721520326,True
SW91.9L,DURING,stage_only,regression,0.33,5,0.9993259495417577,False
SW91.9L,DURING,stage_only,classification,sqrt,1,0.9782608695652174,False
SW91.9L,DURING,stage_only,classification,sqrt,5,0.9792719919110212,False
SW91.9L,DURING,stage_only,classification,0.33,1,0.9802831142568251,False
SW91.9L,DURING,stage_only,classification,0.33,5,0.9838220424671386,True
SW91.9L,DURING,hydromet,regression,sqrt,1,0.9991159609350715,False
SW91.9L,DURING,hydromet,regression,sqrt,5,0.9988048532897257,False
SW91.9L,DURING,hydromet,regression,0.33,1,0.9995016766620736,True
SW91.9L,DURING,hydromet,regression,0.33,5,0.9993984628254472,False
SW91.9L,DURING,hydromet,classification,sqrt,1,0.9777553083923155,False
SW91.9L,DURING,hydromet,classification,sqrt,5,0.9797775530839231,False
SW91.9L,DURING,hydromet,classification,0.33,1,0.9843276036400405,True
SW91.9L,DURING,hydromet,classification,0.33,5,0.9843276036400405,False
SW91.9L,DURING,full_multivariate,regression,sqrt,1,0.9991545009841237,False
SW91.9L,DURING,full_multivariate,regression,sqrt,5,0.9987989730829582,False
SW91.9L,DURING,full_multivariate,regression,0.33,1,0.9994911897301766,True
SW91.9L,DURING,full_multivariate,regression,0.33,5,0.999420047813881,False
SW91.9L,DURING,full_multivariate,classification,sqrt,1,0.9812942366026289,False
SW91.9L,DURING,full_multivariate,classification,sqrt,5,0.9742163801820021,False
SW91.9L,DURING,full_multivariate,classification,0.33,1,0.9823053589484327,False
SW91.9L,DURING,full_multivariate,classification,0.33,5,0.9848331648129424,True
SW91.9L,DURING,forecast_safe,regression,sqrt,1,0.99841332743054,False
SW91.9L,DURING,forecast_safe,regression,sqrt,5,0.9979364115101219,False
SW91.9L,DURING,forecast_safe,regression,0.33,1,0.998892308823851,True
SW91.9L,DURING,forecast_safe,regression,0.33,5,0.9987023966088366,False
SW91.9L,DURING,forecast_safe,classification,sqrt,1,0.9696663296258847,True
SW91.9L,DURING,forecast_safe,classification,sqrt,5,0.9666329625884732,False
SW91.9L,DURING,forecast_safe,classification,0.33,1,0.9691607684529828,False
SW91.9L,DURING,forecast_safe,classification,0.33,5,0.968149646107179,False
SW91.9L,AFTER,stage_only,regression,sqrt,1,0.9991335448894173,False
SW91.9L,AFTER,stage_only,regression,sqrt,5,0.9984965956048134,False
SW91.9L,AFTER,stage_only,regression,0.33,1,0.9993705997601435,True
SW91.9L,AFTER,stage_only,regression,0.33,5,0.9991797184171336,False
SW91.9L,AFTER,stage_only,classification,sqrt,1,0.9834630350194552,False
SW91.9L,AFTER,stage_only,classification,sqrt,5,0.9815175097276264,False
SW91.9L,AFTER,stage_only,classification,0.33,1,0.9854085603112841,True
SW91.9L,AFTER,stage_only,classification,0.33,5,0.9844357976653697,False
SW91.9L,AFTER,hydromet,regression,sqrt,1,0.9990358105204235,False
SW91.9L,AFTER,hydromet,regression,sqrt,5,0.9983327600675328,False
SW91.9L,AFTER,hydromet,regression,0.33,1,0.9994572949090881,True
SW91.9L,AFTER,hydromet,regression,0.33,5,0.999264661310601,False
SW91.9L,AFTER,hydromet,classification,sqrt,1,0.9892996108949417,True
SW91.9L,AFTER,hydromet,classification,sqrt,5,0.9824902723735408,False
SW91.9L,AFTER,hydromet,classification,0.33,1,0.9873540856031129,False
SW91.9L,AFTER,hydromet,classification,0.33,5,0.9863813229571985,False
SW91.9L,AFTER,full_multivariate,regression,sqrt,1,0.9989174951877928,False
SW91.9L,AFTER,full_multivariate,regression,sqrt,5,0.9985116198706764,False
SW91.9L,AFTER,full_multivariate,regression,0.33,1,0.9993770320142952,True
SW91.9L,AFTER,full_multivariate,regression,0.33,5,0.9992713449522039,False
SW91.9L,AFTER,full_multivariate,classification,sqrt,1,0.9824902723735408,False
SW91.9L,AFTER,full_multivariate,classification,sqrt,5,0.9785992217898832,False
SW91.9L,AFTER,full_multivariate,classification,0.33,1,0.9873540856031129,True
SW91.9L,AFTER,full_multivariate,classification,0.33,5,0.9873540856031129,False
SW91.9L,AFTER,forecast_safe,regression,sqrt,1,0.9980607755465026,False
SW91.9L,AFTER,forecast_safe,regression,sqrt,5,0.9973269422611476,False
SW91.9L,AFTER,forecast_safe,regression,0.33,1,0.9985498915578559,True
SW91.9L,AFTER,forecast_safe,regression,0.33,5,0.998213619509435,False
SW91.9L,AFTER,forecast_safe,classification,sqrt,1,0.9717898832684825,False
SW91.9L,AFTER,forecast_safe,classification,sqrt,5,0.9688715953307393,False
SW91.9L,AFTER,forecast_safe,classification,0.33,1,0.97568093385214,True
SW91.9L,AFTER,forecast_safe,classification,0.33,5,0.9747081712062257,False
SW91.9L,ALL,stage_only,regression,sqrt,1,0.9992068420776606,False
SW91.9L,ALL,stage_only,regression,sqrt,5,0.9989078244335725,False
SW91.9L,ALL,stage_only,regression,0.33,1,0.9994471051076549,True
SW91.9L,ALL,stage_only,regression,0.33,5,0.9993465571940549,False
SW91.9L,ALL,stage_only,classification,sqrt,1,0.9805497925311203,False
SW91.9L,ALL,stage_only,classification,sqrt,5,0.9782157676348547,False
SW91.9L,ALL,stage_only,classification,0.33,1,0.9865145228215768,True
SW91.9L,ALL,stage_only,classification,0.33,5,0.9839211618257261,False
SW91.9L,ALL,hydromet,regression,sqrt,1,0.9991028964800316,False
SW91.9L,ALL,hydromet,regression,sqrt,5,0.9988548380753052,False
SW91.9L,ALL,hydromet,regression,0.33,1,0.9994722522008076,True
SW91.9L,ALL,hydromet,regression,0.33,5,0.9994056633944602,False
SW91.9L,ALL,hydromet,classification,sqrt,1,0.97951244813278,False
SW91.9L,ALL,hydromet,classification,sqrt,5,0.9779564315352697,False
SW91.9L,ALL,hydromet,classification,0.33,1,0.9859958506224067,True
SW91.9L,ALL,hydromet,classification,0.33,5,0.9844398340248963,False
SW91.9L,ALL,full_multivariate,regression,sqrt,1,0.999146575958059,False
SW91.9L,ALL,full_multivariate,regression,sqrt,5,0.998849653580577,False
SW91.9L,ALL,full_multivariate,regression,0.33,1,0.9994574227029803,True
SW91.9L,ALL,full_multivariate,regression,0.33,5,0.9993800316828528,False
SW91.9L,ALL,full_multivariate,classification,sqrt,1,0.9826244813278008,False
SW91.9L,ALL,full_multivariate,classification,sqrt,5,0.979253112033195,False
SW91.9L,ALL,full_multivariate,classification,0.33,1,0.9849585062240664,True
SW91.9L,ALL,full_multivariate,classification,0.33,5,0.983661825726141,False
SW91.9L,ALL,forecast_safe,regression,sqrt,1,0.998314764566066,False
SW91.9L,ALL,forecast_safe,regression,sqrt,5,0.9979428788915214,False
SW91.9L,ALL,forecast_safe,regression,0.33,1,0.9989602824603068,True
SW91.9L,ALL,forecast_safe,regression,0.33,5,0.9988468693781825,False
SW91.9L,ALL,forecast_safe,classification,sqrt,1,0.9743257261410788,False
SW91.9L,ALL,forecast_safe,classification,sqrt,5,0.9712136929460581,False
SW91.9L,ALL,forecast_safe,classification,0.33,1,0.9769190871369294,False
SW91.9L,ALL,forecast_safe,classification,0.33,5,0.9771784232365145,True
SW93.4L,BEFORE,stage_only,regression,sqrt,1,0.9986374925826419,False
SW93.4L,BEFORE,stage_only,regression,sqrt,5,0.9976831520245595,False
SW93.4L,BEFORE,stage_only,regression,0.33,1,0.9988289163320814,True
SW93.4L,BEFORE,stage_only,regression,0.33,5,0.9984403927209472,False
SW93.4L,BEFORE,stage_only,classification,sqrt,1,0.9929411764705882,True
SW93.4L,BEFORE,stage_only,classification,sqrt,5,0.991764705882353,False
SW93.4L,BEFORE,stage_only,classification,0.33,1,0.9882352941176471,False
SW93.4L,BEFORE,stage_only,classification,0.33,5,0.9894117647058823,False
SW93.4L,BEFORE,hydromet,regression,sqrt,1,0.9983112131634686,False
SW93.4L,BEFORE,hydromet,regression,sqrt,5,0.997440952684989,False
SW93.4L,BEFORE,hydromet,regression,0.33,1,0.9988013887425641,True
SW93.4L,BEFORE,hydromet,regression,0.33,5,0.9984931570907992,False
SW93.4L,BEFORE,hydromet,classification,sqrt,1,0.9905882352941177,False
SW93.4L,BEFORE,hydromet,classification,sqrt,5,0.991764705882353,False
SW93.4L,BEFORE,hydromet,classification,0.33,1,0.9929411764705882,True
SW93.4L,BEFORE,hydromet,classification,0.33,5,0.9894117647058823,False
SW93.4L,BEFORE,full_multivariate,regression,sqrt,1,0.9984157376543054,False
SW93.4L,BEFORE,full_multivariate,regression,sqrt,5,0.9974276601916083,False
SW93.4L,BEFORE,full_multivariate,regression,0.33,1,0.9987754062784251,True
SW93.4L,BEFORE,full_multivariate,regression,0.33,5,0.9985196039718559,False
SW93.4L,BEFORE,full_multivariate,classification,sqrt,1,0.9929411764705882,True
SW93.4L,BEFORE,full_multivariate,classification,sqrt,5,0.9929411764705882,False
SW93.4L,BEFORE,full_multivariate,classification,0.33,1,0.9905882352941177,False
SW93.4L,BEFORE,full_multivariate,classification,0.33,5,0.9894117647058823,False
SW93.4L,BEFORE,forecast_safe,regression,sqrt,1,0.9973810884177594,False
SW93.4L,BEFORE,forecast_safe,regression,sqrt,5,0.9962012110965203,False
SW93.4L,BEFORE,forecast_safe,regression,0.33,1,0.9980800780596406,True
SW93.4L,BEFORE,forecast_safe,regression,0.33,5,0.9976725042300093,False
SW93.4L,BEFORE,forecast_safe,classification,sqrt,1,0.9894117647058823,False
SW93.4L,BEFORE,forecast_safe,classification,sqrt,5,0.9894117647058823,False
SW93.4L,BEFORE,forecast_safe,classification,0.33,1,0.991764705882353,True
SW93.4L,BEFORE,forecast_safe,classification,0.33,5,0.9894117647058823,False
SW93.4L,DURING,stage_only,regression,sqrt,1,0.9977198338844591,False
