Station_ID,Id,Stratum,Train_Min,Train_Max,Test_Min,Test_Max,N_Test,N_Outside_Train_Range,Pct_Outside,Pct_SSE_From_Outside,Max_Pred,Max_Observed,Ceiling_Gap,Mean_Abs_Daily_Change,RMSE_Level,Error_vs_Daily_Move
SW91.9R,10,BEFORE,1.48,8.19,2.01,8.16,212,0,0.0,0.0,7.812200000000006,8.16,0.3477999999999941,0.07251184834123225,0.10317936320100876,1.422931087281885
SW91.9R,10,DURING,1.25,9.08,1.25,8.67,495,0,0.0,0.0,8.652550000000005,8.67,0.01744999999999486,0.08186234817813766,0.11541043457630236,1.4098109466046824
SW91.9R,10,AFTER,1.12,8.0,2.06,8.05,257,2,0.78,3.59,6.5773500000000045,8.05,1.4726499999999962,0.09187500000000001,0.68610453609164,7.4678044744668295
SW91.9R,10,ALL,1.25,9.08,1.12,8.05,964,18,1.87,2.46,7.915200000000009,8.05,0.13479999999999137,0.07651090342679129,0.20685539087970592,2.703606696758371
SW91.9L,11,BEFORE,1.58,8.31,1.92,8.19,212,0,0.0,0.0,7.9026499999999835,8.19,0.287350000000016,0.0723222748815166,0.09372240191268784,1.295899528412656
SW91.9L,11,DURING,1.36,8.93,1.39,8.51,495,0,0.0,0.0,8.54714999999999,8.51,-0.0371499999999898,0.07597165991902832,0.0997199037405283,1.3125934571761522
SW91.9L,11,AFTER,1.3,7.73,2.17,7.81,257,4,1.56,8.12,6.6401,7.81,1.1698999999999993,0.08609375,0.5039104836333176,5.853043730042165
SW91.9L,11,ALL,1.36,8.93,1.3,7.81,964,7,0.73,1.84,7.879849999999997,7.81,-0.06984999999999708,0.07083073727933542,0.11244473309372355,1.5875132380773458
SW93.4L,12,BEFORE,0.4,5.89,0.75,5.82,212,0,0.0,0.0,5.60985,5.82,0.2101500000000005,0.06976303317535545,0.11541150687782906,1.6543361379906203
SW93.4L,12,DURING,0.35,6.35,0.5,5.78,495,0,0.0,0.0,5.9297999999999975,5.78,-0.14979999999999727,0.07257085020242914,0.11484594879465901,1.5825355287185932
SW93.4L,12,AFTER,0.3,5.15,0.97,5.29,257,6,2.33,11.42,4.4459,5.29,0.8441000000000001,0.07578125000000001,0.3664875812468557,4.836124783463663
SW93.4L,12,ALL,0.35,6.35,0.3,5.29,964,2,0.21,2.57,5.24505,5.29,0.044950000000000045,0.07353063343717552,0.09774932825750034,1.3293687771779805
SW93.5L,13,BEFORE,0.357,5.337,0.677,5.417,210,3,1.43,8.44,5.228150000000004,5.417,0.18884999999999597,0.06712918660287082,0.07492216882173336,1.1160893288483444
SW93.5L,13,DURING,0.307,6.087,0.45,5.587,495,0,0.0,0.0,5.5851999999999995,5.587,0.0018000000000002458,0.072334008097166,0.048066368206108843,0.664505803985609
SW93.5L,13,AFTER,0.23,4.97,0.9,5.03,257,4,1.56,9.67,4.634000000000006,5.03,0.3959999999999946,0.0728515625,0.1575962672877598,2.1632517118319847
SW93.5L,13,ALL,0.307,6.087,0.23,5.03,961,6,0.62,7.95,5.067449999999995,5.03,-0.03744999999999443,0.07138541666666667,0.04609241466439112,0.6456839059946807
SW95,15,BEFORE,-0.49,3.7,-0.24,3.71,210,1,0.48,2.24,3.4779000000000013,3.71,0.23209999999999864,0.07354066985645934,0.1129240310900164,1.5355317174894878
SW95,15,DURING,-0.6,3.98,-0.35,4.01,495,1,0.2,0.41,3.6481500000000007,4.01,0.3618499999999991,0.07568825910931175,0.2538497202971663,3.353885044846219
SW95,15,AFTER,-0.19,3.71,0.62,3.44,255,0,0.0,0.0,3.0329499999999974,3.44,0.4070500000000026,0.07177165354330707,0.21052126405103852,2.9332090547977945
SW95,15,ALL,-0.6,4.01,-0.19,3.71,960,0,0.0,0.0,3.5125499999999983,3.71,0.19745000000000168,0.07771637122002086,0.1114823360097351,1.4344768580885008
