Station_ID,Id,Stratum,Feature_Set,N_Features,N_Train,N_Classes,N_Test,Accuracy,Macro_F1,Weighted_F1,Cohen_Kappa,Accuracy_Persistence,Kappa_Persistence,Kappa_Skill_Score,Precision_Normal,Recall_Normal,F1_Normal,Support_Normal,Precision_Warning,Recall_Warning,F1_Warning,Support_Warning,Precision_Danger,Recall_Danger,F1_Danger,Support_Danger,Precision_Severe,Recall_Severe,F1_Severe,Support_Severe,OOB_Accuracy,HP_max_features,HP_min_samples_leaf
SW91.9R,10,BEFORE,stage_only,79,850,4,212,0.8773584905660378,0.5427563304275633,0.861368923141991,0.7391263192768234,0.9622641509433962,0.9238026776889208,-2.4236594254342334,0.9210526315789473,1.0,0.958904109589041,140,0.9333333333333333,0.7777777777777778,0.8484848484848485,54,0.26666666666666666,0.5714285714285714,0.36363636363636365,7.0,0.0,0.0,0.0,11.0,0.9847058823529412,0.33,1
SW91.9R,10,BEFORE,hydromet,173,850,4,212,0.9009433962264151,0.5880555555555556,0.8871278825995808,0.794022392893495,0.9622641509433962,0.9238026776889208,-1.7032131951512883,0.9459459459459459,1.0,0.9722222222222222,140,0.9782608695652174,0.8333333333333334,0.9,54,0.3333333333333333,0.8571428571428571,0.48,7.0,0.0,0.0,0.0,11.0,0.9894117647058823,0.33,1
SW91.9R,10,BEFORE,full_multivariate,177,850,4,212,0.9056603773584906,0.5916252113016179,0.8921390786110366,0.8046082949308756,0.9622641509433962,0.9238026776889208,-1.5642857142857116,0.9523809523809523,1.0,0.975609756097561,140,0.9787234042553191,0.8518518518518519,0.9108910891089109,54,0.3333333333333333,0.8571428571428571,0.48,7.0,0.0,0.0,0.0,11.0,0.9894117647058823,0.33,1
SW91.9R,10,BEFORE,forecast_safe,151,850,4,212,0.910377358490566,0.567236211031175,0.8890830731641102,0.8169423741137974,0.9622641509433962,0.9238026776889208,-1.4024154699145595,0.9927536231884058,0.9785714285714285,0.9856115107913669,140,0.803030303030303,0.9814814814814815,0.8833333333333333,54,0.375,0.42857142857142855,0.4,7.0,0.0,0.0,0.0,11.0,0.9776470588235294,0.33,1
SW91.9R,10,DURING,stage_only,79,1978,4,495,0.9858585858585859,0.9333296889773736,0.9852085666603816,0.9609357384441939,0.9838383838383838,0.9554500556874304,0.12313556933483667,0.9974293059125964,1.0,0.9987129987129987,388,0.9285714285714286,0.9848484848484849,0.9558823529411765,66,0.9230769230769231,0.7058823529411765,0.8,17.0,1.0,0.9583333333333334,0.9787234042553191,24.0,0.9752275025278059,0.33,1
SW91.9R,10,DURING,hydromet,173,1978,4,495,0.9838383838383838,0.9310752145790159,0.9831711316646321,0.9551924687139334,0.9838383838383838,0.9554500556874304,-0.0057819819412053474,0.9948717948717949,1.0,0.9974293059125964,388,0.927536231884058,0.9696969696969697,0.9481481481481482,66,0.9230769230769231,0.7058823529411765,0.8,17.0,1.0,0.9583333333333334,0.9787234042553191,24.0,0.9742163801820021,0.33,1
SW91.9R,10,DURING,full_multivariate,177,1978,4,495,0.9878787878787879,0.9447772608376589,0.9874820712615268,0.9665348341953148,0.9838383838383838,0.9554500556874304,0.24881688807761168,0.9974293059125964,1.0,0.9987129987129987,388,0.9420289855072463,0.9848484848484849,0.9629629629629629,66,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0,1.0,0.9583333333333334,0.9787234042553191,24.0,0.974721941354904,0.33,1
SW91.9R,10,DURING,forecast_safe,151,1978,4,495,0.98989898989899,0.9651435982360528,0.9900191628523743,0.9724727786366518,0.9838383838383838,0.9554500556874304,0.3821042475336732,1.0,0.9948453608247423,0.9974160206718347,388,0.9558823529411765,0.9848484848484849,0.9701492537313433,66,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0,1.0,0.9583333333333334,0.9787234042553191,24.0,0.9605662285136501,0.33,5
SW91.9R,10,AFTER,stage_only,79,1028,4,257,0.933852140077821,0.6565018930304485,0.9289921052320345,0.8619240250300234,0.953307392996109,0.9038353601496726,-0.4358289615068576,0.9717514124293786,0.9942196531791907,0.9828571428571429,173,0.9259259259259259,0.8333333333333334,0.8771929824561403,60,0.6923076923076923,0.8571428571428571,0.7659574468085106,21.0,0.0,0.0,0.0,3.0,0.9834630350194552,0.33,5
SW91.9R,10,AFTER,hydromet,173,1028,4,257,0.7665369649805448,0.6538038815392505,0.7155853313812146,0.4173436614396373,0.953307392996109,0.9038353601496726,-5.058945777441903,0.7863636363636364,1.0,0.8804071246819338,173,0.5238095238095238,0.18333333333333332,0.2716049382716049,60,0.8333333333333334,0.47619047619047616,0.6060606060606061,21.0,0.75,1.0,0.8571428571428571,3.0,0.9834630350194552,0.33,1
