Station_ID,Id,Stratum,Feature_Set,Mean_Residual,SD_Residual,Skew_Residual,Kurtosis_Residual,Shapiro_p,JarqueBera_p,BreuschPagan_p,Residual_ACF_lag1,Residual_ACF_lag2,Residual_ACF_lag3,Residual_ACF_lag4,Residual_ACF_lag5,Residual_ACF_lag6,Residual_ACF_lag7
SW91.9R,10,BEFORE,stage_only,0.061571226415092634,0.10183898217961156,1.1918404967594474,3.1466334697151925,1.8055637354422057e-10,1.2860662921721181e-30,4.8086946849613865e-05,0.9092019747694372,0.7780407353675513,0.6628825176116444,0.545410258563421,0.43949717282266015,0.35766030644882874,0.2947060439337941
SW91.9R,10,BEFORE,hydromet,-0.004008490566039193,0.10334549689520162,0.9505589193477643,2.164170840534907,1.33562207753969e-08,1.2121210677583182e-16,2.9392137370114428e-05,0.9342729671320179,0.8391853927261906,0.7483145680767629,0.6651059200190721,0.5878604144464457,0.5251017168518002,0.47064522549165844
SW91.9R,10,BEFORE,full_multivariate,-0.006457311320756613,0.10827433640971357,1.1646992839331067,2.547837127380931,1.0149734444437446e-09,1.3819774313645457e-23,1.2172062065785052e-05,0.9358043792376421,0.8351467758170916,0.7430434737454611,0.6585414893435015,0.5844341768102077,0.526468510336793,0.4678560439082216
SW91.9R,10,BEFORE,forecast_safe,-0.004215566037736614,0.1469329034678019,1.4607626086053074,3.1761429382339372,7.824513277883788e-12,1.8976667958033906e-36,1.9945639847775247e-07,0.9280221491476884,0.8227725588666172,0.715608493335702,0.6188329626937781,0.5358983143355227,0.4649410454764883,0.39752998806922435
SW91.9R,10,DURING,stage_only,0.029378686868686547,0.11332480537576212,1.1308693868259367,4.403350779278964,2.522729846559823e-14,1.7806108131945278e-110,0.09670215986992241,0.8027896047093697,0.5038751959823113,0.29558463211060254,0.2025776491822136,0.14768125656958872,0.09739151386353999,0.07188556387215016
SW91.9R,10,DURING,hydromet,-0.001183131313131441,0.11552111696513094,0.17628672534381237,2.8299268704514544,3.123138767423687e-11,3.766736485125719e-37,0.1061789795127286,0.8122389797277826,0.5526088381206128,0.37568903632820655,0.2946570097408179,0.2469957516434848,0.2039300972766235,0.17916815047526993
SW91.9R,10,DURING,full_multivariate,-0.0030868686868689194,0.11572338651076196,0.26900610159178745,3.073388545818176,1.1027114048239407e-11,2.508686437472073e-44,0.1549184107430318,0.8191144709743989,0.5622303892505938,0.38197858602690565,0.3019977149618746,0.2542173721725871,0.20778763484741897,0.17936385488834067
SW91.9R,10,DURING,forecast_safe,0.006759393939393443,0.13830960095463776,0.4712862572202208,3.7797412345434767,4.713948518433207e-14,1.0884631692606541e-68,0.00796372510395513,0.8243360680435482,0.5582830816642704,0.36297541177688764,0.262664060099199,0.20318320857829283,0.15161323691431913,0.12473487935458706
SW91.9R,10,AFTER,stage_only,0.025948249027237295,0.18829172327418633,-0.25599775843040984,3.9089191357721296,3.576477449364573e-11,7.259594814893697e-37,0.9544213266405566,0.8900413329188241,0.6719976179300902,0.4327029168799717,0.23424203121662152,0.08598747861885396,-0.03774733327409569,-0.13252232434994654
SW91.9R,10,AFTER,hydromet,0.530339883268482,0.43614125598329845,0.14343824766032062,-0.9180144431587309,7.394600411468252e-06,0.007063146824650379,6.922080301521889e-34,0.967861764811087,0.906230206276575,0.8354512258551925,0.7709132551440273,0.7169135219792818,0.6685223638478889,0.6286123853693941
