Station_ID,Stratum,Feature_Set,RMSE_CI_low,RMSE_CI_high,MAE_CI_low,MAE_CI_high,NSE_CI_low,NSE_CI_high,KGE_CI_low,KGE_CI_high,Persistence_Index_CI_low,Persistence_Index_CI_high
SW91.9R,BEFORE,stage_only,0.10194501578901564,0.13535192714949432,0.07461982311320622,0.09597097877358303,0.9944511284615297,0.9968297204116701,0.9786407084481016,0.990014730178609,-1.9876514504467588,-0.4137726133740554
SW91.9R,BEFORE,hydromet,0.0908639189371185,0.11613869335443863,0.06417606721698087,0.08328368514150894,0.9959396858767299,0.997616707518195,0.9883727978200507,0.9983429880308539,-1.192230722874483,-0.007654029198707045
SW91.9R,BEFORE,full_multivariate,0.09471424217643346,0.12165923950000597,0.06850598466981225,0.08809032429245292,0.9955140033599538,0.9973900089326452,0.9868477758386814,0.9980228591531523,-1.4348661524709585,-0.11031813466105897
SW91.9R,BEFORE,forecast_safe,0.12612566433984843,0.1657276624587981,0.08967207547169785,0.11638587264150892,0.9914241999766559,0.995304704878238,0.9833889610616714,0.9971402672081752,-3.4458759408207116,-1.0996460634991272
SW91.9R,DURING,stage_only,0.10535644703428955,0.13053982752215165,0.07672208333333351,0.0895986843434344,0.9967030245298559,0.9979129269169064,0.9823612397722404,0.988896442466059,-0.20683207009271817,0.1905491026015721
SW91.9R,DURING,hydromet,0.10543220970459075,0.12586583827366726,0.07525303030303068,0.0891342323232327,0.9968426378165779,0.9979130954244989,0.9879728991234167,0.9937344666913115,-0.18735624844391727,0.24439109056665242
SW91.9R,DURING,full_multivariate,0.10552661336671523,0.1267199144946201,0.07500517929292957,0.08858344696969715,0.9968134239782224,0.9979179288230267,0.987695137463518,0.9931789454083495,-0.20430927761328843,0.22994133433039438
SW91.9R,DURING,forecast_safe,0.12464129944288282,0.15312215449369498,0.08637445707070703,0.10386967676767646,0.9954480678330554,0.9970738648100091,0.9831052831370568,0.9905290289221146,-0.7081215961230399,-0.15015387756896117
SW91.9R,AFTER,stage_only,0.15992150319840745,0.21318322908774956,0.1154873249027233,0.14725455252918307,0.984405608943393,0.9915434677670906,0.9510212516278809,0.9693641953402303,-2.2272714067091774,-0.8673381499736168
SW91.9R,AFTER,hydromet,0.6374940718103602,0.7386715963509142,0.5009756468871592,0.6043080739299603,0.81799542991449,0.8707918529884494,0.7485025496092312,0.769585213734193,-40.84358469522419,-22.693215368103246
SW91.9R,AFTER,full_multivariate,0.6976557946273247,0.8100315267886398,0.5500911186770432,0.6620302529182885,0.7827175311712363,0.8447403968016746,0.7247790124924194,0.7474043924232797,-48.94587829368185,-27.401813808807283
SW91.9R,AFTER,forecast_safe,0.55302072879973,0.6357163489232514,0.42968824902723796,0.5184845914396894,0.86498063083774,0.9044972073452937,0.78492077119033,0.8082022589120152,-30.3473374041426,-16.599421516331244
SW91.9R,ALL,stage_only,0.10130605450787089,0.11876925175611666,0.07642988200207498,0.08580908065352723,0.9970831638447164,0.9979006651298231,0.9804699276563242,0.985380806236155,-0.2250980340008099,0.1635851462773328
SW91.9R,ALL,hydromet,0.19202020083367438,0.22257758119697973,0.1320739030082989,0.1507256172199171,0.9897726198259061,0.9922404515683447,0.9502531308714266,0.9616601639819976,-3.3645824033423795,-1.8461664596204024
SW91.9R,ALL,full_multivariate,0.19101244863045178,0.21930314289099195,0.13134444502074724,0.1494731029564319,0.9900838874951225,0.9923944244660009,0.9520365648335639,0.9630289993421095,-3.2571818290534993,-1.7725203308278814
SW91.9R,ALL,forecast_safe,0.17671964769723855,0.20437480142980524,0.12256983791493782,0.14077536436721996,0.9914520744705824,0.993554458599428,0.9537086941322301,0.9645185534277801,-2.6310001551113014,-1.4324479247917614
SW91.9L,BEFORE,stage_only,0.0902386591822675,0.1153006676859769,0.06923288915094397,0.0859915507075482,0.9958484449317787,0.9976203141635381,0.9846916566596684,0.991267150549908,-1.1816876033666222,-0.18832921570499947
SW91.9L,BEFORE,hydromet,0.08378745757368616,0.10310798649320096,0.0657104127358494,0.08065041863207664,0.9966987382366367,0.9979293004284011,0.9815731660160657,0.9956850643805031,-0.8072745770797052,0.01335443147535349
SW91.9L,BEFORE,full_multivariate,0.08326495298913125,0.10358164472826777,0.06452697523584881,0.08035949882075562,0.9966740958899466,0.9979639602666283,0.9814370135414925,0.9958880498421662,-0.8461130083092376,0.009876242463931163
SW91.9L,BEFORE,forecast_safe,0.11917752939452014,0.1530069679438528,0.08175692216981112,0.10933839622641502,0.9926259299528256,0.9959407002525899,0.9810900385808147,0.9965547393062748,-2.9115875597189054,-1.0874523321308198
SW91.9L,DURING,stage_only,0.08407629065069225,0.10436433892404198,0.059157909090909094,0.07130744949494973,0.9977376122469871,0.9985887854009398,0.9924367193628889,0.9972542348120851,0.12539454177545373,0.426941705400719
SW91.9L,DURING,hydromet,0.09127744518925192,0.10967632788931042,0.06556075757575736,0.07761645454545454,0.997407390168761,0.9983468031999254,0.9912471125572063,0.9955284013742675,-0.060961329004355254,0.3671327653272385
SW91.9L,DURING,full_multivariate,0.091255157774384,0.10832129156854868,0.06558365151515136,0.07743922222222233,0.9974669747446457,0.9983662248630351,0.9920780975415544,0.9962110693608863,-0.04929225772731961,0.3665211865304401
SW91.9L,DURING,forecast_safe,0.11376959848706474,0.13935032625797755,0.07857861363636388,0.09487775757575805,0.9959472389978923,0.997492976748452,0.9926939053740171,0.9983119384616956,-0.5644439943353897,-0.0966749803113072
SW91.9L,AFTER,stage_only,0.11559789489059355,0.14593559491246352,0.08364255836575828,0.10329517509727619,0.9918802553014057,0.9953147770821166,0.9676926363950218,0.9816977895373291,-0.6981077293198193,0.06126364791088619
SW91.9L,AFTER,hydromet,0.46535481381530813,0.5421333752787865,0.35649893482490297,0.4326553550583658,0.8905756835824233,0.9218609091985839,0.799550540627611,0.8173993151215394,-24.073221165934466,-12.583432384539998
SW91.9L,AFTER,full_multivariate,0.40922001877236325,0.4757067700096041,0.3163178939688712,0.38100331712062196,0.9148504721429682,0.9398156953534308,0.8278073601459958,0.8446464695294049,-18.293598029479433,-9.516979782791964
SW91.9L,AFTER,forecast_safe,0.39493015697621614,0.4591560060026646,0.3055742704280164,0.36740584143968963,0.920854808168508,0.9443166839502491,0.8399549755651661,0.8618461243643165,-17.406986113140093,-8.87645422982022
SW91.9L,ALL,stage_only,0.08488208263535647,0.09459335933020784,0.06646521006224093,0.07372015689834077,0.9979416738837876,0.9983828055294673,0.9875123521767695,0.9900163468403004,0.08858297491395797,0.37055259935081186
SW91.9L,ALL,hydromet,0.1067395100673437,0.11864023528695507,0.08537639263485518,0.09438435943983445,0.9968059132674703,0.9974202726522883,0.9841866010141932,0.9880465567974303,-0.4327560609809351,0.027328127149004587
SW91.9L,ALL,full_multivariate,0.10140105050343662,0.11227378362131835,0.08137963692946083,0.08940760373444004,0.9971143106896238,0.9976685086567733,0.9850967983873078,0.9883923774743413,-0.28916610337854004,0.11447074383656439
SW91.9L,ALL,forecast_safe,0.11580900100275543,0.13062205785706715,0.08914325596473041,0.09828258298755208,0.9960855240652329,0.9969748287536243,0.9779953926064752,0.9842852000430958,-0.6641354357581554,-0.23165688777269453
SW93.4L,BEFORE,stage_only,0.09944444480150329,0.11593091732133586,0.08004097287735826,0.09574334905660381,0.9931990996678715,0.9957007918225651,0.9857247366675421,0.9956570533891341,-1.375961419288243,-0.4771077882113889
SW93.4L,BEFORE,hydromet,0.10572190751493318,0.12761019875237842,0.08203971108490532,0.09970518278301836,0.9918498352272961,0.9950841620163712,0.9780566678059731,0.9935039749332877,-1.8006361048897714,-0.6942777567125172
SW93.4L,BEFORE,full_multivariate,0.10864866438290403,0.1304637425660498,0.08399669811320731,0.1024854363207541,0.9914877460584575,0.9949241564538839,0.9748931888558732,0.9906666010392576,-1.9540057907567905,-0.7527050471105109
SW93.4L,BEFORE,forecast_safe,0.11788558955249974,0.14257256867810303,0.09257094339622604,0.11444646816037686,0.9898633790516211,0.9939231255983554,0.9792649181686409,0.9952816781070511,-2.545605587968349,-1.1754192086251802
SW93.4L,DURING,stage_only,0.10587497415439591,0.1282220303255676,0.08145678535353529,0.09399364646464638,0.9925959910219342,0.9950241406373159,0.9582719897602533,0.9672817779219887,-0.7982547311893096,-0.25968897056660367
SW93.4L,DURING,hydromet,0.1055887311928479,0.12739444596182448,0.08017665656565669,0.09296973232323238,0.992606338871359,0.9950579877458271,0.9581045477274901,0.9668148199475135,-0.772151095005745,-0.24819771051687894
SW93.4L,DURING,full_multivariate,0.10542655950432205,0.12791793212905891,0.07904299242424248,0.09288473989898975,0.992622362725729,0.995036965492801,0.9588138760181454,0.9682681314723368,-0.8001277400072565,-0.2516483341230746
SW93.4L,DURING,forecast_safe,0.10512077222076256,0.12876122355269287,0.07919454545454546,0.09196928282828283,0.9923644877644227,0.9951579433718891,0.9698517862015528,0.9786198535695676,-0.806339433979553,-0.256203510976972
SW93.4L,AFTER,stage_only,0.12946728978692829,0.16576924001385937,0.09651001459143933,0.11988155155641946,0.9827369313566957,0.989966369563075,0.951115701738735,0.9721422176392462,-2.1307315435850325,-0.6702695718609598
SW93.4L,AFTER,hydromet,0.3399265929677165,0.39159111631466853,0.2735606712062253,0.3244585019455249,0.9053169682996899,0.9291172121003849,0.8037309157191345,0.8234654988655682,-17.374167119073604,-10.320176058253711
