Station_ID,Id,Stratum,Feature_Set,N_Features,N_Train,N_Test,RMSE,MAE,MaxAE,R2,NSE,KGE,PBIAS_pct,Pearson_r,Persistence_Index,RMSE_Persistence,NSE_Persistence,OOB_R2,Train_Start,Train_End,Test_Start,Test_End,HP_max_features,HP_min_samples_leaf
SW91.9R,10,BEFORE,stage_only,79,850,212,0.11879929949843987,0.08518018867924397,0.44899999999998386,0.995817719113169,0.995817719113169,0.9852376148690227,1.1663613699927298,0.9984969703427878,-0.9812038107534389,0.08440133236898797,0.9978890203702765,0.9991807022137618,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9R,10,BEFORE,hydromet,173,850,212,0.10317936320100876,0.07317405660377332,0.36219999999998365,0.9968452051450036,0.9968452051450036,0.9967864046750257,-0.07593398443436498,0.9984243695601533,-0.4944695868096438,0.08440133236898797,0.9978890203702765,0.9992112369552525,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9R,10,BEFORE,full_multivariate,177,850,212,0.10821150613017953,0.07749646226415119,0.38664999999997907,0.9965299772584465,0.9965299772584465,0.9960683195925886,-0.12232269709510082,0.9982709254278229,-0.643797359621189,0.08440133236898797,0.9978890203702765,0.999171180702811,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9R,10,BEFORE,forecast_safe,151,850,212,0.14664655775347324,0.10335707547169766,0.5370999999999846,0.9936272162165591,0.9936272162165591,0.9946145248725139,-0.07985667438100684,0.9968117397038563,-2.018875072837946,0.08440133236898797,0.9978890203702765,0.9986597918853993,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9R,10,DURING,stage_only,79,1978,495,0.11696013973948026,0.08262656565656575,0.6645499999999913,0.997399354974236,0.997399354974236,0.9857191351060766,0.7283534172751871,0.9988423394921533,-0.00371142720561779,0.11674369751336006,0.997408971388316,0.9993369429037294,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9R,10,DURING,hydromet,173,1978,495,0.11541043457630244,0.08146272727272759,0.5771499999999943,0.9974678147593675,0.9974678147593675,0.9908199079738037,-0.029332071200331728,0.9987641345502231,0.02271042889540531,0.11674369751336006,0.997408971388316,0.9993341703245806,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9R,10,DURING,full_multivariate,177,1978,495,0.11564763982010026,0.08135636363636388,0.5884499999999981,0.9974573951663603,0.9974573951663603,0.9905214349519386,-0.07652933457543824,0.9987618691111485,0.01868901710541604,0.11674369751336006,0.997408971388316,0.9993635543382958,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9R,10,DURING,forecast_safe,151,1978,495,0.13833506271281176,0.09468484848484834,0.7228499999999958,0.9963619399524462,0.9963619399524462,0.9865945434899724,0.1675782071701052,0.998249145002744,-0.40409875489149694,0.11674369751336006,0.997408971388316,0.9988898816407494,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9R,10,AFTER,stage_only,79,1028,257,0.18970801843045368,0.13115875486381323,0.7736499999999977,0.9883507541514914,0.9883507541514914,0.960016148867477,0.489546475605995,0.9948560860536113,-1.3626860270263377,0.12341918700041885,0.995069490522543,0.9990439446816318,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9R,10,AFTER,hydromet,173,1028,257,0.6861045360916399,0.552499416342412,1.475349999999998,0.8476273514095016,0.8476273514095016,0.759054416161349,10.005531411959879,0.9914456401391453,-29.90403725764421,0.12341918700041885,0.995069490522543,0.9990726488511809,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9R,10,AFTER,full_multivariate,177,1028,257,0.7518205119758486,0.6056935797665375,1.6058000000000003,0.8170405793938007,0.8170405793938007,0.7361682280858228,11.09587658381173,0.9909423617372393,-36.107609556926505,0.12341918700041885,0.995069490522543,0.9990696935170201,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9R,10,AFTER,forecast_safe,151,1028,257,0.5914357274285934,0.4737099221789892,1.3576500000000031,0.8867752039465064,0.8867752039465064,0.7966459809648718,8.218191628371354,0.9893655004312785,-21.96411690742593,0.12341918700041885,0.995069490522543,0.9985360949546778,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9R,10,ALL,stage_only,79,3856,964,0.11038991681507809,0.08146203319502102,0.6613999999999978,0.9974815577586038,0.9974815577586038,0.9828108310428149,-0.6143025285309373,0.9989266956509226,0.0013907205277272627,0.11046675773424036,0.9974780504315691,0.9993092266493762,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9R,10,ALL,hydromet,173,3856,964,0.20685539087970592,0.14098563278008316,0.8377000000000008,0.9911568524766118,0.9911568524766118,0.9561686927191135,0.14911748894641125,0.9963776155487444,-2.5064727836291674,0.11046675773424036,0.9974780504315691,0.9993090643157784,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9R,10,ALL,full_multivariate,177,3856,964,0.20437314827158665,0.1399936721991705,0.8455499999999985,0.991367812738521,0.991367812738521,0.9577946821769727,0.12672257205851137,0.9964200434070352,-2.422823108572214,0.11046675773424036,0.9974780504315691,0.9993065208033546,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9R,10,ALL,forecast_safe,151,3856,964,0.1901748217613209,0.13142593360995858,0.8412999999999995,0.9925255503843379,0.9925255503843379,0.9592140962963642,0.08056391662976294,0.9969675708398158,-1.963758557754426,0.11046675773424036,0.9974780504315691,0.9989406952548734,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9L,11,BEFORE,stage_only,87,850,212,0.1036712868037604,0.07770518867924617,0.3469000000000113,0.9968744858425873,0.9968744858425873,0.9893217532115746,1.030404715616054,0.9988735147791615,-0.5770487057032665,0.08255358465640752,0.9980181245220204,0.9994614290868145,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9L,11,BEFORE,hydromet,189,850,212,0.09372240191268771,0.07311674528301966,0.2960000000000145,0.9974455858436719,0.9974455858436719,0.9895987751024053,-0.5594778378474298,0.9988987098819511,-0.28888731139263135,0.08255358465640752,0.9980181245220204,0.9996350038452413,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9L,11,BEFORE,full_multivariate,193,850,212,0.09396997155605381,0.07256297169811335,0.30220000000001157,0.9974320729453366,0.9974320729453366,0.9894165288822634,-0.5827363356325413,0.9989034811704853,-0.2957055492110041,0.08255358465640752,0.9980181245220204,0.9996079536227876,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9L,11,BEFORE,forecast_safe,165,850,212,0.13786577874191008,0.09668867924528264,0.46365000000000745,0.9944726438521213,0.9944726438521213,0.992219635034669,-0.3317442985609625,0.9973201148553908,-1.7889522875138568,0.08255358465640752,0.9980181245220204,0.9987625101564338,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW91.9L,11,DURING,stage_only,87,1978,495,0.09270209838754755,0.06441606060606071,0.5159499999999992,0.99824434903196,0.99824434903196,0.9955238757641771,0.31478955142581855,0.9991466442238183,0.2748630094778649,0.10886280866811728,0.9975788699363195,0.9994943622165275,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9L,11,DURING,hydromet,189,1978,495,0.09971990374052829,0.07094787878787882,0.4679499999999983,0.9979684722838809,0.9979684722838809,0.993388063075189,-0.45033590311071753,0.9990351750369045,0.16091756217717912,0.10886280866811728,0.9975788699363195,0.9995426937529299,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9L,11,DURING,full_multivariate,193,1978,495,0.09920928893052841,0.07082767676767675,0.4317999999999995,0.9979892238547423,0.9979892238547423,0.9941110102956622,-0.42312505213981455,0.999037363224732,0.16948858905953856,0.10886280866811728,0.9975788699363195,0.9995434853559331,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9L,11,DURING,forecast_safe,165,1978,495,0.12505425109596144,0.08612161616161654,0.6797499999999981,0.9968051095584457,0.9968051095584457,0.9965253918105851,-0.10961875364977282,0.9984041930228376,-0.31958645653990203,0.10886280866811728,0.9975788699363195,0.998948492345049,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW91.9L,11,AFTER,stage_only,87,1028,257,0.1302336558525922,0.09283229571984372,0.4790500000000004,0.9938606775881954,0.9938606775881954,0.9742122318401244,0.07355873588168046,0.9971893422446244,-0.22424572812806498,0.11770337974379852,0.9949852204743308,0.9994348337104644,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9L,11,AFTER,hydromet,189,1028,257,0.5039104836333178,0.3957589494163425,1.174450000000002,0.9080861908483507,0.9080861908483507,0.8087315685114671,7.246153563150731,0.9954725885221225,-17.328584273978382,0.11770337974379852,0.9949852204743308,0.9994844513641458,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9L,11,AFTER,full_multivariate,193,1028,257,0.44201934240078183,0.34900603112840406,1.0310999999999995,0.929277675674912,0.929277675674912,0.8361066515233344,6.355818402560597,0.9958611674796187,-13.102778389973272,0.11770337974379852,0.9949852204743308,0.9994664649990173,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9L,11,AFTER,forecast_safe,165,1028,257,0.4250094995619504,0.3365978599221798,1.0462500000000041,0.9346160352473593,0.9346160352473593,0.8506626708796634,5.461362716603524,0.990735349227038,-12.038253111220383,0.11770337974379852,0.9949852204743308,0.9986156338288427,2022-06-26,2025-04-18,2025-04-19,2025-12-31,0.33,1
SW91.9L,11,ALL,stage_only,87,3856,964,0.08931609224269886,0.06957702282157713,0.4159499999999996,0.9981775959429187,0.9981775959429187,0.9888719017387819,-1.090898741100508,0.99935781829614,0.24833060782147376,0.10301875106280127,0.997575524457901,0.9994961240427273,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9L,11,ALL,hydromet,189,3856,964,0.11244473309372353,0.0895523340248966,0.5035999999999987,0.9971115591243135,0.9971115591243135,0.9862914539422282,-0.9116998077496454,0.9987804543526034,-0.19136729801189079,0.10301875106280127,0.997575524457901,0.9995076405392979,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9L,11,ALL,full_multivariate,193,3856,964,0.10687895592154567,0.0852970954356849,0.5295500000000004,0.9973904257898388,0.9973904257898388,0.9868756534857916,-0.9508153621888906,0.9989275895708833,-0.0763458590726076,0.10301875106280127,0.997575524457901,0.9995169527421719,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW91.9L,11,ALL,forecast_safe,165,3856,964,0.12282798993517138,0.09387256224066401,0.6392000000000007,0.9965534868814034,0.9965534868814034,0.9812658148160778,-0.7061609316278883,0.9985116923016029,-0.4215499635903388,0.10301875106280127,0.997575524457901,0.9990101384061942,2011-01-08,2023-05-12,2023-05-13,2025-12-31,0.33,1
SW93.4L,12,BEFORE,stage_only,95,850,212,0.1077015715491231,0.08802358490566031,0.2724500000000001,0.9947097247256231,0.9947097247256231,0.9918579689444939,0.39877600314822126,0.9974375549243442,-0.8743302172256002,0.07866815903072231,0.997177511611477,0.9989740616383851,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW93.4L,12,BEFORE,hydromet,205,850,212,0.11541150687782907,0.09019386792452794,0.2970999999999977,0.9939251940065266,0.9939251940065266,0.9860597032497579,-0.7252791988384063,0.9972068274282231,-1.1522873285060764,0.07866815903072231,0.997177511611477,0.9988803601793581,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW93.4L,12,BEFORE,full_multivariate,209,850,212,0.11791399663065823,0.0925870283018863,0.3128999999999964,0.9936588955131602,0.9936588955131602,0.9832589999184738,-0.9074878210955987,0.9971901035709559,-1.2466361642530148,0.07866815903072231,0.997177511611477,0.9988769378915034,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW93.4L,12,BEFORE,forecast_safe,179,850,212,0.1309969434685906,0.1037127358490563,0.36459999999999804,0.9921736995792226,0.9921736995792226,0.9900452364813173,-0.5634592159363792,0.9962283816015415,-1.772837065548766,0.07866815903072231,0.997177511611477,0.9981589449006445,2011-01-08,2013-12-20,2013-12-21,2014-11-25,0.33,1
SW93.4L,12,DURING,stage_only,95,1978,495,0.11525814912358232,0.08761959595959594,0.675199999999998,0.9940876561480492,0.9940876561480492,0.9630045428731939,1.4646367018079431,0.9979826120320426,-0.502181214163335,0.09403953606560564,0.9960641607043104,0.998388232936841,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW93.4L,12,DURING,hydromet,205,1978,495,0.11484594879465898,0.08656171717171719,0.6790499999999984,0.9941298694271018,0.9941298694271018,0.9627172053387867,1.3164625330972213,0.9979801769012085,-0.49145585779554257,0.09403953606560564,0.9960641607043104,0.9983877361384879,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
SW93.4L,12,DURING,full_multivariate,209,1978,495,0.11506066853814309,0.08537696969696969,0.6616499999999981,0.9941078989315397,0.9941078989315397,0.9637526803353613,1.351829892301922,0.9979381875157476,-0.4970380205596783,0.09403953606560564,0.9960641607043104,0.9984167344145937,2014-11-26,2021-02-07,2021-02-08,2022-06-25,0.33,1
