Station_ID,Id,Stratum,N_Train,N_Test,RMSE_Level,RMSE_Change,RMSE_Persistence,PI_Level,PI_Change,NSE_Level,NSE_Change,KGE_Change,MAE_Change,PBIAS_Change,HP_max_features,HP_min_samples_leaf
SW91.9R,10,BEFORE,850,212,0.10317936320100876,0.060437763677206706,0.08440133236898797,-0.4944695868096438,0.4872352436763344,0.9968452051450036,0.9989175640445607,0.9964042753392349,0.04591650943396228,-0.015717566323840873,sqrt,1
SW91.9R,10,DURING,1978,495,0.11541043457630236,0.08852634924191223,0.11674369751336006,0.022710428895406753,0.4249862619322895,0.9974678147593675,0.9985101229525551,0.9958626815912617,0.061575858585858595,0.08362883272730907,0.33,1
SW91.9R,10,AFTER,1028,257,0.68610453609164,0.10239577932008766,0.12341918700041885,-29.90403725764422,0.31166674968707697,0.8476273514095016,0.9966061663856833,0.995878197565299,0.07140894941634242,0.33802175859993217,0.33,1
SW91.9R,10,ALL,3856,964,0.20685539087970592,0.07979051351957725,0.11046675773424036,-2.5064727836291674,0.47827781376449396,0.9911568524766118,0.9986842429575825,0.9938314467383345,0.0563204356846473,-0.29094327915673024,0.33,1
SW91.9L,11,BEFORE,850,212,0.09372240191268784,0.0592039060215418,0.08255358465640752,-0.2888873113926351,0.4856854045542628,0.9974455858436719,0.9989806925153191,0.9981696567912852,0.04546863207547173,-0.08391257645565355,0.33,1
SW91.9L,11,DURING,1978,495,0.0997199037405283,0.08197228880123533,0.10886280866811728,0.160917562177179,0.43301045207370903,0.9979684722838809,0.9986272445597231,0.9953272698953366,0.05612808080808081,0.07912002708816931,0.33,1
SW91.9L,11,AFTER,1028,257,0.5039104836333176,0.10006262013095006,0.11770337974379852,-17.32858427397836,0.2772869870804665,0.9080861908483508,0.9963757535798764,0.9955387552638277,0.06754883268482488,0.317365071189434,0.33,1
SW91.9L,11,ALL,3856,964,0.11244473309372355,0.0749516475533017,0.10301875106280127,-0.19136729801189123,0.47066598017750305,0.9971115591243135,0.9987166426153393,0.994047100845099,0.05322914937759338,-0.32599464328050964,0.33,1
SW93.4L,12,BEFORE,850,212,0.11541150687782906,0.06468280059951198,0.07866815903072231,-1.1522873285060755,0.32394869283536576,0.9939251940065266,0.9980918530354821,0.9971797285731531,0.05200849056603775,-0.024547786085516724,sqrt,1
SW93.4L,12,DURING,1978,495,0.11484594879465901,0.07854977579711975,0.09403953606560564,-0.49145585779554346,0.3022996453455168,0.9941298694271018,0.9972539635275343,0.9937527444983856,0.058774242424242444,0.577658744984649,0.33,1
SW93.4L,12,AFTER,1028,257,0.3664875812468557,0.08650007241752412,0.09758165292885158,-13.10529537124054,0.21422790546057224,0.916994677475444,0.9953759730355576,0.991529341352357,0.06699899301171257,0.7290182634973156,0.33,5
SW93.4L,12,ALL,3856,964,0.09774932825750034,0.07986022152390057,0.09867009872166307,0.018576534314297732,0.34492670426091876,0.9957128812831442,0.997138465621348,0.9895936107669248,0.0593853215767635,-0.6130330118341317,0.33,1
SW93.5L,13,BEFORE,838,210,0.07492216882173336,0.06464644090302706,0.0749698352037417,0.0012712107091532587,0.25643981403033134,0.9970253409310063,0.9977853466584178,0.9907560942312598,0.05248976190476189,-0.35974838193585984,0.33,1
SW93.5L,13,DURING,1978,495,0.048066368206108843,0.07512814991127434,0.0926813701001251,0.7310337875229125,0.34291659699306354,0.9989104009910135,0.9973381138911681,0.9935908972658374,0.05578545454545457,0.5652543372867009,0.33,1
SW93.5L,13,AFTER,1028,257,0.1575962672877598,0.08244887037237644,0.09370040841407777,-1.8288432680375841,0.22574066211664556,0.9836214830198946,0.995517171327302,0.989963374876769,0.06484163424124513,0.8378710235174727,0.33,1
SW93.5L,13,ALL,3845,961,0.04609241466439112,0.07214000866479076,0.0956705890151064,0.7678856316351932,0.4314148868222696,0.9990140396670278,0.9975848010984368,0.9928601787647149,0.052272268470343386,-0.46714228130501295,0.33,1
SW95,15,BEFORE,838,210,0.1129240310900164,0.07832446831184194,0.08748877479017358,-0.66597345246982,0.1985245174630622,0.9892704872816622,0.9948381882252882,0.9903636831065258,0.061678953171534524,-0.15018159324355018,0.33,5
SW95,15,DURING,1978,495,0.2538497202971663,0.09449796844590914,0.09813101940618456,-5.691766178907848,0.07267424213816676,0.9453216560418021,0.9924228319708055,0.9723347415923803,0.07043131313131314,2.53217960361795,0.33,1
SW95,15,AFTER,1022,255,0.21052126405103852,0.08790933866648984,0.09398372825372799,-4.017490972962178,0.12508736666719944,0.9309873816314648,0.9879660946087642,0.9827538409230013,0.06497269225984127,0.9483710728876193,0.33,5
SW95,15,ALL,3838,960,0.1114823360097351,0.09170998627192344,0.10619851693879721,-0.10198381753948316,0.2542446920923126,0.9889549272585162,0.9925253697086228,0.986053210486175,0.06327301854043275,0.09244818728938699,0.33,5
