station,era,n,mean_resid_log10,factor,lo,hi,median_conc_monsoon
SW91.9L,Before,89,3.3181946578684456e-16,1.0000000000000007,0.8708980722997922,1.1529535024926676,695.0
SW91.9L,During,266,-1.1582407503336578,0.06946391389298427,0.06073423263500972,0.07909276459939403,66.5
SW91.9L,After,98,-1.3779801902084823,0.041881266829047324,0.03583474006922588,0.0486509035373716,50.25
SW93.5L,Before,66,1.0092936587501424e-15,1.0000000000000022,0.8584537644404425,1.1763431596853653,892.75
SW93.5L,During,122,-0.5197081153305045,0.3021982079821136,0.2718034224401611,0.33593222539241274,360.71
SW93.5L,After,48,-0.5664181537778314,0.2713825045705992,0.21182247033861795,0.33867136682609505,369.145
