target,h,model,macroF1,kappa,POD_W,FAR_W,CSI_W,n_event_W,POD_D,FAR_D,CSI_D,n_event_D
11,1,Persistence,0.9208045492172865,0.95040247919718,0.9722838137472284,0.02771618625277162,0.9460625674217907,902,0.9285714285714286,0.07142857142857142,0.8666666666666667,224
11,1,Logistic regression,0.7735005325789859,0.8790335571072493,0.967849223946785,0.1,0.8738738738738738,902,0.8794642857142857,0.11659192825112108,0.788,224
11,1,Random forest,0.9168448429954169,0.949662301966523,0.9889135254988913,0.044967880085653104,0.9449152542372882,902,0.90625,0.037914691943127965,0.875,224
11,1,Gradient boosting,0.9199926667299474,0.9611989430987227,0.9900221729490022,0.025109170305676855,0.9654054054054054,902,0.9241071428571429,0.03271028037383177,0.8961038961038961,224
11,2,Persistence,0.846828875045706,0.9049380851279284,0.9478935698447893,0.052106430155210645,0.9009483667017913,902,0.8616071428571429,0.13839285714285715,0.7568627450980392,224
11,2,Logistic regression,0.7978240770555053,0.8804928657391907,0.9711751662971175,0.10975609756097561,0.8673267326732673,902,0.8839285714285714,0.12389380530973451,0.7857142857142857,224
11,2,Random forest,0.8133265451971028,0.908376897692134,0.9800443458980045,0.06751054852320675,0.9151138716356108,902,0.8348214285714286,0.06965174129353234,0.7857142857142857,224
11,2,Gradient boosting,0.8092440816782587,0.9117190411173988,0.9656319290465631,0.041804180418041806,0.926595744680851,902,0.8125,0.06666666666666667,0.7679324894514767,224
11,3,Persistence,0.7780729774852588,0.863606817792245,0.926829268292683,0.07317073170731707,0.8636363636363636,902,0.7991071428571429,0.20089285714285715,0.6654275092936803,224
11,3,Logistic regression,0.7435870459287754,0.8589487375661031,0.9689578713968958,0.11269035532994924,0.8627838104639685,902,0.8526785714285714,0.19747899159663865,0.7047970479704797,224
11,3,Random forest,0.7650148013373615,0.8842213119202523,0.9656319290465631,0.06844919786096257,0.901656314699793,902,0.7633928571428571,0.11855670103092783,0.6923076923076923,224
11,3,Gradient boosting,0.7249310192825392,0.8625326314042877,0.9456762749445676,0.057458563535911604,0.8941299790356394,902,0.6964285714285714,0.19170984455958548,0.5977011494252874,224
11,5,Persistence,0.6797560407103237,0.7902438182714071,0.885809312638581,0.11419068736141907,0.7950248756218905,902,0.6964285714285714,0.30357142857142855,0.5342465753424658,224
11,5,Logistic regression,0.649766987280742,0.7846732957311161,0.9656319290465631,0.1728395061728395,0.8035055350553506,902,0.7901785714285714,0.36330935251798563,0.5446153846153846,224
11,5,Random forest,0.6012788813681305,0.7998824844380238,0.9445676274944568,0.09650053022269353,0.8580060422960725,902,0.5223214285714286,0.2777777777777778,0.4349442379182156,224
11,5,Gradient boosting,0.5992909945028526,0.7992033281691664,0.9212860310421286,0.07150837988826815,0.860248447204969,902,0.5089285714285714,0.2962962962962963,0.41911764705882354,224
11,7,Persistence,0.6124143915486886,0.7303134806346663,0.8536585365853658,0.14634146341463414,0.7446808510638298,902,0.6071428571428571,0.39285714285714285,0.4358974358974359,224
11,7,Logistic regression,0.571604460272584,0.716439446398303,0.9567627494456763,0.20752984389348025,0.7650709219858156,902,0.71875,0.496875,0.42036553524804177,224
11,7,Random forest,0.537857297932996,0.7442747813633155,0.9279379157427938,0.1380020597322348,0.8079150579150579,902,0.3794642857142857,0.3656716417910448,0.31135531135531136,224
11,7,Gradient boosting,0.5152617456074295,0.7029646792872575,0.8725055432372506,0.13989071038251366,0.7640776699029126,902,0.34375,0.46153846153846156,0.2655172413793103,224
12,1,Persistence,0.6948330995213732,0.9215535781322576,0.933933933933934,0.06606606606606606,0.8760563380281691,333,0.9024390243902439,0.0975609756097561,0.8222222222222222,41
12,1,Logistic regression,0.5272802864039825,0.7414961730599419,0.984984984984985,0.3333333333333333,0.6599597585513078,333,0.34146341463414637,0.4166666666666667,0.27450980392156865,41
12,1,Random forest,0.6419058070895003,0.8865907641889323,0.987987987987988,0.14545454545454545,0.8457583547557841,333,0.6585365853658537,0.20588235294117646,0.5625,41
12,1,Gradient boosting,0.6501124360941333,0.9025628298633057,0.972972972972973,0.10497237569060773,0.8733153638814016,333,0.7073170731707317,0.23684210526315788,0.58,41
12,2,Persistence,0.6468476646311272,0.8489180023287923,0.8708708708708709,0.12912912912912913,0.7712765957446809,333,0.8048780487804879,0.1951219512195122,0.673469387755102,41
