Id,max_slope_cm,max_lo,max_hi,max_p,min_slope_cm,min_lo,min_hi,min_p
1,-1.555555555555562,-8.090909090909095,7.500000000000018,0.691822511248206,-20.63636363636365,-27.333333333333343,-13.785714285714285,0.00033037090163412914
2,-7.000000000000028,-13.125000000000009,0.12499999999997513,0.11424717239544455,-6.714285714285724,-15.599999999999985,-0.5000000000000004,0.09264256691158146
4,-2.750000000000001,-8.090909090909081,1.8461538461538478,0.43511891093211363,-8.166666666666663,-11.555555555555557,-3.833333333333333,0.015510823225067603
5,-1.4545454545454557,-6.666666666666672,3.666666666666648,0.5521279376872228,-8.166666666666663,-12.000000000000002,-5.249999999999999,0.0004499047433477926
6,-2.833333333333332,-8.000000000000007,3.100000000000005,0.6264945175158468,0.7500000000000007,-5.0,4.142857142857143,0.7662472195322296
7,-6.9999999999999964,-11.750000000000016,-2.142857142857148,0.058995845051235264,-4.500000000000001,-7.571428571428572,-1.5999999999999994,0.008495852202373711
8,-1.8979166666666474,-11.814285714285688,5.860000000000056,0.5097745711721406,0.14374999999999805,-4.499999999999993,4.328571428571415,0.9512614545962469
9,-4.299999999999991,-8.824999999999994,1.999999999999987,0.1925076217598539,-2.037499999999998,-3.400000000000003,-0.664285714285714,0.02924957136957992
10,-1.7777777777777795,-4.888888888888884,5.499999999999972,0.6264945175158468,-2.9999999999999987,-4.0000000000000036,-1.5000000000000013,0.0023964697897534623
11,-3.49999999999997,-5.999999999999872,2.749999999999986,0.27568969784851405,-1.9000000000000017,-3.0000000000000027,-0.5000000000000004,0.02393839910890545
12,-6.000000000000005,-8.363636363636363,-0.8571428571428517,0.0474887593502972,-0.833333333333334,-1.7500000000000002,0.0,0.08074745730373546
13,-3.54000000000001,-5.427272727272731,1.299999999999999,0.20184282422518202,-0.9999999999999999,-1.8888888888888882,0.04285714285714289,0.13587597170718568
15,-0.833333333333334,-3.8571428571428577,1.3333333333333273,0.6552510950540036,2.999999999999999,0.49999999999999767,7.000000000000001,0.016755026316127464
16,-4.122222222222227,-10.010000000000003,1.5363636363636408,0.2791797743335442,0.0,-0.8875000000000001,0.725,0.9202116773235596
17,-4.9999999999999964,-6.999999999999998,-1.0000000000000009,0.054625947445687974,0.3333333333333332,-2.0,2.0,0.691822511248206
