regime,0,1,2,3,4
0,0.8595971563981043,0.1338862559241706,0.001184834123222749,0.0035545023696682463,0.0017772511848341231
1,0.1584992343032159,0.8093415007656968,0.028330781010719754,0.002297090352220521,0.0015313935681470138
2,0.011111111111111112,0.05555555555555555,0.7611111111111111,0.0,0.17222222222222222
3,0.02720348204570185,0.002176278563656148,0.0,0.8552774755168662,0.11534276387377584
4,0.0008920606601248885,0.0008920606601248885,0.04192685102586976,0.11061552185548618,0.8456735057983943
