Id,annual_amplitude_m,daily_change_sd_cm,change_memory_acf1,tidal_range_m,peak_timing_sin,peak_timing_cos,warning_share,rise_p99_cm,cluster,PC1,PC2
1,9.869999999999997,15.366526875866132,0.5941182450660891,0.03,-0.8446743839971523,-0.4641677763051166,0.04982661069538237,55.25000000000002,0,3.407073358635753,-1.9751272936375959
2,9.57,12.929220363929192,0.7466316034880002,0.01,-0.8237221728675925,-0.4804057867308211,0.04891403540792116,47.000000000000064,0,2.8398446394895984,-0.619075377774066
3,9.059999999999999,12.18018592007276,0.7495678891369666,0.02,-0.8120807768337949,-0.48890906382800964,0.055119547362657416,46.67000000000002,0,2.468908490952011,-0.44639847430891016
4,8.86,11.766937810037597,0.7888660470660089,0.02,-0.8434870816026476,-0.43059689138295865,0.08067165541157145,42.22999999999955,0,2.5624638865120364,-0.29832239135908956
5,8.57,11.312853520068442,0.7312340148435963,0.03,-0.8147398960173792,-0.4580819461448339,0.032670195291111516,37.999999999999986,0,1.9787056190493402,-0.6814367224027374
6,7.8100000000000005,10.555735554906768,0.7589315420739678,0.02,-0.7999498882319244,-0.5146832992032748,0.0846869866764008,37.000000000000036,0,1.2868383642270074,0.037130585893885994
7,7.39,9.92479118654875,0.8132936003046086,0.02,-0.7333470906296163,-0.5406058466372292,0.16152582588063516,34.550000000000196,2,0.6108308314114779,1.153410215246965
8,7.940000000000001,13.509372077884557,0.7553500705118436,0.02,-0.4659035422306393,-0.719019915603652,0.1325059317393685,50.9999999999998,2,0.382774305640348,1.7221149959901934
9,7.08,10.028006641714098,0.7371615691808993,0.03,-0.6595390126468703,-0.6166405686919109,0.06461033035225407,34.999999999999986,2,0.029668425784532854,0.6301613980883235
10,6.84,9.947625412654086,0.7892127668309785,0.03,-0.6600712854161621,-0.6166140068009587,0.2544259901441869,34.00000000000007,2,-0.39546567551117884,1.929664464280453
11,6.65,9.38915591860956,0.7984536144826142,0.03,-0.6581197006580777,-0.6168836500774425,0.23635699945245484,32.5500000000002,2,-0.5438082326884424,1.9617479221873042
12,5.26,8.999410504574497,0.7013472706286377,0.28,-0.6640936669862307,-0.609935078956778,0.1138893958751597,25.0,1,-1.5627881289466012,0.23631194322322288
13,4.9799999999999995,8.727331640477312,0.6968485349734928,0.29,-0.6615018995541706,-0.612109156775665,0.09162255886110604,24.000000000000004,1,-1.7122259872118901,0.11471561233781337
14,4.67,8.606339553316984,0.676253742393418,0.31,-0.6710626263322924,-0.6000011643388852,0.0821317758715094,23.0,1,-1.827871085079145,-0.15730303961671502
15,3.96,9.44247516522009,0.5138983580840801,0.6,-0.706876637230239,-0.652697295001582,0.2867311553203139,23.0,3,-3.337954909192179,-0.7493896924945679
16,4.7299999999999995,8.465684458666969,0.5694146930525,0.22,-0.5925505963181991,-0.7049745322020418,0.012411023909472532,21.000000000000004,1,-2.589783344695446,-0.399692294692458
17,3.42,10.43954620977544,0.43251391059331284,0.82,-0.6605384766563563,-0.6877338302238035,0.1075013688629312,25.99999999999999,3,-3.5972105583772236,-2.4585118509620205
