season,k,silhouette,ARI_vs_river,ARI_vs_U1,median_r
Monsoon (Jun-Oct),2,0.4109194204654024,0.1695040710584752,0.1683453237410072,0.6386838368768277
Dry (Jan-Apr),2,0.4883154690713802,0.18914473684210525,0.252442996742671,0.30285701792633457
