target,window_days,start,monsoon,PI,full_PI
11,7,2023-01-01,False,0.8015306358220754,0.9215056529488377
11,7,2023-01-04,False,0.5932359209843233,0.9215056529488377
11,7,2023-01-07,False,0.7735207606452081,0.9215056529488377
11,7,2023-01-10,False,0.9035348836696856,0.9215056529488377
11,7,2023-01-13,False,0.7497310642355137,0.9215056529488377
11,7,2023-01-16,False,0.8084254987262853,0.9215056529488377
11,7,2023-01-19,False,0.6312221738038633,0.9215056529488377
11,7,2023-01-22,False,0.70540411042722,0.9215056529488377
11,7,2023-01-25,False,0.8878401433026044,0.9215056529488377
11,7,2023-01-28,False,0.8207485859254008,0.9215056529488377
11,7,2023-01-31,False,0.7032981820750541,0.9215056529488377
11,7,2023-02-03,False,0.7431685709970285,0.9215056529488377
11,7,2023-02-06,False,0.48799852723548176,0.9215056529488377
11,7,2023-02-09,False,0.7080811933830502,0.9215056529488377
11,7,2023-02-12,False,0.7652548737224969,0.9215056529488377
11,7,2023-02-15,False,0.6877322393607816,0.9215056529488377
11,7,2023-02-18,False,0.6871533844650146,0.9215056529488377
11,7,2023-02-21,False,0.7724400629675789,0.9215056529488377
11,7,2023-02-24,False,0.8204223177878721,0.9215056529488377
11,7,2023-02-27,False,0.7904613187324931,0.9215056529488377
11,7,2023-03-02,False,0.7907159696478623,0.9215056529488377
11,7,2023-03-05,False,0.9588388634661138,0.9215056529488377
11,7,2023-03-08,False,0.7543798790747241,0.9215056529488377
11,7,2023-03-11,False,0.684681733680524,0.9215056529488377
11,7,2023-03-14,False,0.7618605819017943,0.9215056529488377
11,7,2023-03-17,False,0.8681286538645515,0.9215056529488377
11,7,2023-03-20,False,0.8675521806388019,0.9215056529488377
11,7,2023-03-23,False,0.6996884595487004,0.9215056529488377
11,7,2023-03-26,False,0.8398113570360407,0.9215056529488377
11,7,2023-03-29,False,0.9029337866621265,0.9215056529488377
11,7,2023-04-01,False,0.9010315900965502,0.9215056529488377
11,7,2023-04-04,False,0.889287546240487,0.9215056529488377
11,7,2023-04-07,False,0.5061421593761909,0.9215056529488377
11,7,2023-04-10,False,0.49160003347526704,0.9215056529488377
11,7,2023-04-13,False,0.7984266561274016,0.9215056529488377
11,7,2023-04-16,False,0.08257884142468941,0.9215056529488377
11,7,2023-04-19,False,0.4721089236011272,0.9215056529488377
11,7,2023-04-22,False,0.7993521204843994,0.9215056529488377
11,7,2023-04-25,False,0.9587713381415365,0.9215056529488377
11,7,2023-04-28,False,0.9800184311318957,0.9215056529488377
11,7,2023-05-01,False,0.8923818483212286,0.9215056529488377
11,7,2023-05-04,False,0.6585167114402302,0.9215056529488377
11,7,2023-05-07,False,0.9263085728225486,0.9215056529488377
11,7,2023-05-10,False,0.9355125773092845,0.9215056529488377
11,7,2023-05-13,False,0.863467867674491,0.9215056529488377
11,7,2023-05-16,False,0.6106402314386088,0.9215056529488377
11,7,2023-05-19,False,0.7249146721293619,0.9215056529488377
11,7,2023-05-22,False,0.7250558018215105,0.9215056529488377
11,7,2023-05-25,False,0.8284330614930563,0.9215056529488377
11,7,2023-05-28,False,0.844309720924334,0.9215056529488377
11,7,2023-05-31,True,0.4237439643820786,0.9215056529488377
11,7,2023-06-03,True,0.7155428880740894,0.9215056529488377
11,7,2023-06-06,True,0.809511496655345,0.9215056529488377
11,7,2023-06-09,True,0.9273232128513169,0.9215056529488377
11,7,2023-06-12,True,0.9926125887401602,0.9215056529488377
