transect,year,x,z,z0,dz
RMG12,2011,890.0,11.18,10.809,0.37100000000000044
RMG12,2011,900.0,10.85,10.434166666666666,0.4158333333333335
RMG12,2011,910.0,10.592,10.105333333333334,0.48666666666666636
RMG12,2011,920.0,10.334,9.776499999999999,0.557500000000001
RMG12,2011,930.0,10.076,9.529333333333334,0.5466666666666669
RMG12,2011,940.0,9.818,9.282166666666667,0.5358333333333327
RMG12,2011,950.0,9.56,9.035,0.5250000000000004
RMG12,2011,960.0,9.298,8.818833333333334,0.4791666666666661
RMG12,2011,970.0,9.036,8.602666666666666,0.43333333333333357
RMG12,2011,980.0,8.774000000000001,8.3865,0.38750000000000107
RMG12,2011,990.0,8.512,8.160333333333334,0.35166666666666657
RMG12,2011,1000.0,8.25,7.934166666666667,0.31583333333333297
RMG12,2011,1010.0,7.786111111111111,7.55593253968254,0.23017857142857157
RMG12,2011,1020.0,7.322222222222222,7.111865079365079,0.21035714285714313
RMG12,2011,1030.0,6.858333333333333,6.639583333333333,0.21875
RMG12,2011,1040.0,6.26,6.015000000000001,0.24499999999999922
RMG12,2011,1050.0,5.7700000000000005,5.759166666666667,0.01083333333333325
RMG12,2011,1060.0,6.0,5.970833333333333,0.029166666666666785
RMG12,2011,1070.0,6.51,6.346176470588235,0.16382352941176492
RMG12,2011,1080.0,6.9462068965517245,6.921502704530088,0.02470419202163665
RMG12,2011,1090.0,7.353103448275862,7.303251352265044,0.049852096010817526
RMG12,2011,1100.0,7.76,7.6850000000000005,0.07499999999999929
RMG12,2011,1110.0,8.084,8.007,0.07699999999999996
RMG12,2011,1120.0,8.408,8.329,0.07899999999999885
RMG12,2011,1130.0,8.732000000000001,8.651,0.0810000000000013
RMG12,2011,1140.0,9.056000000000001,8.973,0.08300000000000018
RMG12,2011,1150.0,9.38,9.295,0.08500000000000085
RMG12,2011,1160.0,9.538,9.4755,0.0625
RMG12,2011,1170.0,9.696,9.655999999999999,0.040000000000000924
RMG12,2011,1180.0,9.854000000000001,9.836500000000001,0.01750000000000007
RMG12,2011,1190.0,10.012,10.017,-0.004999999999999005
RMG12,2011,1200.0,10.17,10.1975,-0.027499999999999858
RMG12,2011,1210.0,10.324,10.3405,-0.016500000000000625
RMG12,2011,1220.0,10.478,10.4835,-0.005499999999999616
RMG12,2011,1230.0,10.632,10.6265,0.005499999999999616
RMG12,2011,1240.0,10.786,10.769499999999999,0.016500000000000625
RMG12,2011,1250.0,10.94,10.9125,0.027499999999999858
RMG12,2011,1260.0,11.096,11.059999999999999,0.036000000000001364
RMG12,2011,1270.0,11.252,11.2075,0.044500000000001094
RMG12,2011,1280.0,11.408,11.355,0.05299999999999905
RMG12,2011,1290.0,11.564,11.5025,0.061500000000000554
RMG12,2011,1300.0,11.72,11.65,0.07000000000000028
RMG12,2011,1310.0,11.816,11.7615,0.05450000000000088
RMG12,2011,1320.0,11.912,11.873,0.03900000000000148
RMG12,2011,1330.0,12.008,11.9845,0.023499999999998522
RMG12,2011,1340.0,12.104,12.096,0.007999999999999119
RMG12,2011,1350.0,12.2,12.2075,-0.007500000000000284
RMG12,2011,1360.0,12.296,12.288,0.007999999999999119
RMG12,2011,1370.0,12.392,12.368500000000001,0.023499999999998522
RMG12,2011,1380.0,12.488,12.449,0.0389999999999997
RMG12,2011,1390.0,12.584,12.529499999999999,0.05450000000000088
RMG12,2011,1400.0,12.68,12.61,0.07000000000000028
RMG12,2011,1410.0,12.767999999999999,12.6985,0.06949999999999967
RMG12,2011,1420.0,12.856,12.787,0.06899999999999906
RMG12,2011,1430.0,12.943999999999999,12.875499999999999,0.06850000000000023
RMG12,2011,1440.0,13.032,12.964,0.06799999999999962
RMG12,2011,1450.0,13.12,13.0525,0.067499999999999
RMG12,2011,1460.0,13.187999999999999,13.120000000000001,0.06799999999999784
RMG12,2011,1470.0,13.256,13.1875,0.06850000000000023
RMG12,2011,1480.0,13.324,13.255,0.06899999999999906
RMG12,2011,1490.0,13.392000000000001,13.322500000000002,0.06949999999999967
RMG12,2011,1500.0,13.46,13.39,0.07000000000000028
RMG12,2011,1510.0,13.472000000000001,13.418000000000001,0.05400000000000027
RMG12,2011,1520.0,13.484,13.446,0.038000000000000256
RMG12,2011,1530.0,13.496,13.474,0.02200000000000024
RMG12,2011,1540.0,13.508,13.501999999999999,0.006000000000000227
RMG12,2011,1550.0,13.52,13.53,-0.009999999999999787
RMG12,2011,1560.0,13.512,13.529,-0.01699999999999946
RMG12,2011,1570.0,13.504,13.527999999999999,-0.023999999999999133
RMG12,2011,1580.0,13.496,13.527,-0.030999999999998806
RMG12,2011,1590.0,13.488,13.526,-0.038000000000000256
RMG12,2011,1600.0,13.48,13.525,-0.04499999999999993
RMG12,2011,1610.0,13.478,13.519,-0.04100000000000037
RMG12,2011,1620.0,13.476,13.513,-0.036999999999999034
RMG12,2011,1630.0,13.474,13.507,-0.032999999999999474
RMG12,2011,1640.0,13.472000000000001,13.501000000000001,-0.028999999999999915
RMG12,2011,1650.0,13.47,13.495000000000001,-0.025000000000000355
RMG12,2011,1660.0,13.456000000000001,13.4875,-0.03149999999999942
RMG12,2011,1670.0,13.442,13.48,-0.038000000000000256
RMG12,2011,1680.0,13.428,13.4725,-0.04449999999999932
RMG12,2011,1690.0,13.414,13.465,-0.051000000000000156
RMG12,2011,1700.0,13.4,13.4575,-0.05749999999999922
RMG12,2011,1710.0,13.376,13.439,-0.06300000000000061
RMG12,2011,1720.0,13.352,13.4205,-0.06850000000000023
RMG12,2011,1730.0,13.328,13.402000000000001,-0.07400000000000162
RMG12,2011,1740.0,13.304,13.3835,-0.07949999999999946
RMG12,2011,1750.0,13.28,13.365,-0.08500000000000085
RMG12,2011,1760.0,13.244,13.342,-0.09800000000000075
RMG12,2011,1770.0,13.208,13.318999999999999,-0.11099999999999888
RMG12,2011,1780.0,13.171999999999999,13.296,-0.12400000000000055
RMG12,2011,1790.0,13.136,13.273,-0.13700000000000045
RMG12,2011,1800.0,13.1,13.25,-0.15000000000000036
RMG12,2011,1810.0,13.076,13.221,-0.14499999999999957
RMG12,2011,1820.0,13.052,13.192,-0.14000000000000057
RMG12,2011,1830.0,13.028,13.163,-0.1349999999999998
RMG12,2011,1840.0,13.004,13.134,-0.13000000000000078
RMG12,2011,1850.0,12.98,13.105,-0.125
RMG12,2011,1860.0,12.964,13.093,-0.12899999999999956
RMG12,2011,1870.0,12.948,13.081,-0.13299999999999912
RMG12,2011,1880.0,12.932,13.068999999999999,-0.13699999999999868
RMG12,2011,1890.0,12.916,13.057,-0.14100000000000001
RMG12,2011,1900.0,12.9,13.045,-0.14499999999999957
RMG12,2011,1910.0,12.864,13.0265,-0.16249999999999964
RMG12,2011,1920.0,12.828000000000001,13.008,-0.17999999999999794
RMG12,2011,1930.0,12.792,12.9895,-0.1974999999999998
RMG12,2011,1940.0,12.756,12.971,-0.21499999999999986
RMG12,2011,1950.0,12.72,12.9525,-0.23249999999999993
RMG12,2011,1960.0,12.716000000000001,12.940999999999999,-0.22499999999999787
RMG12,2011,1970.0,12.712,12.9295,-0.21750000000000114
RMG12,2011,1980.0,12.708,12.918,-0.20999999999999908
RMG12,2011,1990.0,12.703999999999999,12.906500000000001,-0.20250000000000234
RMG12,2011,2000.0,12.7,12.895,-0.19500000000000028
RMG12,2011,2010.0,12.69,12.8665,-0.17650000000000077
RMG12,2011,2020.0,12.68,12.838,-0.15799999999999947
RMG12,2011,2030.0,12.67,12.8095,-0.13949999999999996
RMG12,2011,2040.0,12.66,12.781,-0.12100000000000044
RMG12,2011,2050.0,12.65,12.7525,-0.10249999999999915
RMG12,2011,2060.0,12.644,12.7355,-0.09149999999999991
RMG12,2011,2070.0,12.638,12.718499999999999,-0.0804999999999989
RMG12,2011,2080.0,12.632,12.7015,-0.06949999999999967
RMG12,2011,2090.0,12.626,12.6845,-0.05850000000000044
RMG12,2011,2100.0,12.62,12.6675,-0.04750000000000121
RMG12,2011,2110.0,12.616,12.67,-0.05400000000000027
RMG12,2011,2120.0,12.612,12.6725,-0.06049999999999933
RMG12,2011,2130.0,12.607999999999999,12.675,-0.06700000000000195
RMG12,2011,2140.0,12.604,12.6775,-0.07350000000000101
RMG12,2011,2150.0,12.6,12.68,-0.08000000000000007
RMG12,2011,2160.0,12.6,12.675,-0.07500000000000107
RMG12,2011,2170.0,12.6,12.67,-0.07000000000000028
RMG12,2011,2180.0,12.6,12.665,-0.0649999999999995
RMG12,2011,2190.0,12.6,12.66,-0.0600000000000005
RMG12,2011,2200.0,12.6,12.655,-0.054999999999999716
RMG12,2011,2210.0,12.588,12.645999999999999,-0.05799999999999983
RMG12,2011,2220.0,12.575999999999999,12.637,-0.06100000000000172
RMG12,2011,2230.0,12.564,12.628,-0.06400000000000006
RMG12,2011,2240.0,12.552,12.619,-0.06700000000000017
RMG12,2011,2250.0,12.54,12.61,-0.07000000000000028
