station,era,q,wl
SW90,After,531.04,3.3719558264253022
SW90,After,569.4501150287712,3.5089520789176314
SW90,After,610.6384330865484,3.6463190893188697
SW90,After,654.805901555671,3.7840568576290172
SW90,After,702.1680023395506,3.9221653838480703
SW90,After,752.9558031443573,4.060644667976036
SW90,After,807.4170847998935,4.199494710012909
SW90,After,865.817550119566,4.338715509958692
SW90,After,928.4421201971898,4.478307067813382
SW90,After,995.59632446491,4.618269383576979
SW90,After,1067.607791293998,4.758602457249487
SW90,After,1144.8278464107777,4.899306288830901
SW90,After,1227.6332269259522,5.040380878321224
SW90,After,1316.4279193396446,5.181826225720456
SW90,After,1411.645130489316,5.323642331028597
SW90,After,1513.749401056315,5.465829194245646
SW90,After,1623.2388719423243,5.608386815371603
SW90,After,1740.6477145727802,5.751315194406469
SW90,After,1866.5487369841012,5.894614331350243
SW90,After,2001.5561784091688,6.03828422620293
SW90,After,2146.32870599512,6.182324878964521
SW90,After,2301.5726282737164,6.326736289635021
SW90,After,2468.0453410619516,6.471518458214429
SW90,After,2646.559022604608,6.616671384702747
SW90,After,2837.984595986415,6.762195069099971
SW90,After,3043.2559781454215,6.908089511406106
SW90,After,3263.3746362174325,7.0543547116211505
SW90,After,3499.4144734407782,7.2009906697450985
SW90,After,3752.5270684584957,7.347997385777963
SW90,After,4023.947293579142,7.495374859719733
SW90,After,4314.999339406362,7.6431230915704065
SW90,After,4627.103175229783,7.791242081329991
SW90,After,4961.781476695902,7.939731828998487
SW90,After,5320.667054557297,8.088592334575889
SW90,After,5705.510820743156,8.2378235980622
SW90,After,6118.190330615562,8.387425619457417
SW90,After,6560.718943087049,8.53739839876155
SW90,After,7035.255643289314,8.687741935974586
SW90,After,7544.115575715409,8.838456231096526
SW90,After,8089.781339223944,8.98954128412738
SW90,After,8674.915099010774,9.140997095067142
SW90,After,9302.371574639401,9.292823663915815
SW90,After,9975.211967495437,9.445020990673395
SW90,After,10696.718895613609,9.59758907533988
SW90,After,11470.412408740582,9.750527917915274
SW90,After,12300.067161767038,9.90383751839958
SW90,After,13189.730830313816,10.057517876792794
SW90,After,14143.743858317135,10.211568993094915
SW90,After,15166.760633956324,10.365990867305946
SW90,After,16263.772197236114,10.520783499425885
SW90,After,17440.130590008008,10.675946889454735
SW90,After,18701.574967228175,10.831481037392493
SW90,After,20054.259596842552,10.987385943239154
SW90,After,21504.783884902885,11.143661606994726
SW90,After,23060.224572399085,11.30030802865921
SW90,After,24728.17026088798,11.4573252082326
SW90,After,26516.75843536023,11.614713145714898
SW90,After,28434.715164970657,11.7724718411061
SW90,After,30491.397675321787,11.930601294406216
SW90,After,32696.840000000004,12.089101505615243
SW90,Before,879.59,4.427713405031076
SW90,Before,939.2168251402773,4.506455578974106
SW90,Before,1002.8857133739391,4.587531337842156
SW90,Before,1070.870673488345,4.670940681635228
SW90,Before,1143.4642891455724,4.756683610353317
SW90,Before,1220.978978060903,4.844760123996429
SW90,Before,1303.7483365401854,4.935170222564558
SW90,Before,1392.1285751625085,5.027913906057709
SW90,Before,1486.500051786843,5.122991174475878
SW90,Before,1587.2689084801987,5.220402027819068
SW90,Before,1694.8688194120507,5.320146466087279
SW90,Before,1809.7628572373906,5.422224489280508
SW90,Before,1932.4454860006374,5.526636097398759
SW90,Before,2063.4446891371877,5.633381290442028
SW90,Before,2203.324241730802,5.742460068410317
SW90,Before,2352.6861368058017,5.853872431303628
