target,group,drop_mean,drop_sd,base_f1
11,11,0.026083177626112737,0.0075219942228326305,0.9010989010989011
11,10,0.013596136243852136,0.0059035681835141775,0.9010989010989011
11,9,0.01918020546739147,0.007462854730374816,0.9010989010989011
11,8,0.0018626206443590697,0.004450504983130758,0.9010989010989011
11,7,0.0016921066228421655,0.004307268899869568,0.9010989010989011
11,6,-0.005542927234393052,0.0022977442380822163,0.9010989010989011
11,5,-0.00151398935080293,0.0019199347653350066,0.9010989010989011
11,4,-0.005201969012148161,0.0014195568174839475,0.9010989010989011
11,3,-0.00379955715826692,0.0024413254141677503,0.9010989010989011
11,2,-0.002523552366198828,0.0013316949875133645,0.9010989010989011
11,1,-0.007365532138780007,0.003390925352538187,0.9010989010989011
11,17,-0.00573856405616055,0.004175989855835881,0.9010989010989011
11,16,-0.009600856552687626,0.004341798410622347,0.9010989010989011
11,season,-0.0037930309880843615,0.003967613189525811,0.9010989010989011
12,12,0.04509333954046006,0.029442727393336712,0.6845637583892618
12,11,-0.038633273436632594,0.01176132236721433,0.6845637583892618
12,10,-0.02261402708047308,0.008890313246443701,0.6845637583892618
12,9,-0.05206249608310698,0.015448698540981768,0.6845637583892618
12,8,0.00909132410973818,0.012172069216466583,0.6845637583892618
12,7,-0.04211814475499504,0.013386779637652606,0.6845637583892618
12,6,-0.013726543026752996,0.00824991857771363,0.6845637583892618
12,5,-0.01656923903695749,0.01077162995926947,0.6845637583892618
12,4,-0.025023157608082984,0.007974797848123293,0.6845637583892618
12,3,-0.024520551864685075,0.009190278293021228,0.6845637583892618
12,2,-0.029641118440036272,0.009624273044270416,0.6845637583892618
12,1,-0.03137011223843579,0.008539281551425394,0.6845637583892618
12,17,-0.006865040171356645,0.008908571926260952,0.6845637583892618
12,16,-0.0100906617750031,0.007266396886781039,0.6845637583892618
12,season,-0.009087557510705257,0.010238811556948925,0.6845637583892618
15,15,0.09611743972469697,0.007860221134485543,0.8523862375138734
15,13,0.009138272911200163,0.003795377900418521,0.8523862375138734
15,12,0.004734208738322243,0.002432741708717566,0.8523862375138734
15,11,0.013145638227513728,0.003567711448350689,0.8523862375138734
15,10,0.01423912079379595,0.0023580809183106877,0.8523862375138734
15,9,0.015936781579732794,0.003059973139308866,0.8523862375138734
15,8,0.019937039873633884,0.0031504229942410406,0.8523862375138734
15,7,0.011852195581473528,0.0026751805504575373,0.8523862375138734
15,6,0.0121206056649942,0.00282263179717554,0.8523862375138734
15,5,-0.0002142657474322296,0.002927184951251552,0.8523862375138734
15,4,0.008473057730551913,0.002286683706029791,0.8523862375138734
15,3,0.010651880560576699,0.003685313102831668,0.8523862375138734
15,2,-0.001678829647029778,0.0026749896880406514,0.8523862375138734
15,1,0.014294275216900475,0.002419258813708773,0.8523862375138734
15,17,0.003086371266247201,0.0023785809902618703,0.8523862375138734
15,16,0.007510975101806633,0.001591975707184136,0.8523862375138734
15,season,0.022890875999280264,0.006233569826235034,0.8523862375138734
