k,silhouette,min_size
2,0.2633112918164754,746
3,0.16049814554916664,614
4,0.17571249508812697,349
5,0.16490489243144812,328
6,0.1494489405071319,310
7,0.15420421561007547,246
8,0.15782632715787687,217
