target,h,rmse_persist_cm,rmse_ridge_cm,rmse_hgb_cm,PI_ridge,PI_hgb
11,1,9.73955953745215,4.50604329322752,4.348004929297613,0.7859515503748992,0.800702696818186
11,2,18.413283271085653,8.982208102650018,8.525174758247813,0.7620401115948172,0.7856398205491717
11,3,26.25325185494573,14.192797264902158,13.708119839329546,0.7077397250017179,0.7273599987008449
11,5,39.61107112824186,25.12261578255448,25.05870360809351,0.5977495486171542,0.5997936032377051
11,7,50.30992095728949,34.125726996609984,34.48786490286813,0.5398954222308345,0.530078465621306
12,1,9.276142023514147,5.910420506017521,5.635681286420613,0.5940224836136654,0.6308880799659169
12,2,17.07481003393728,10.893044572950899,10.191567064914238,0.593007130782841,0.6437374500236437
12,3,23.864299499107076,15.381067067544018,14.398531150909532,0.5845913361078672,0.6359684716761524
12,5,34.82987082162181,23.036698036679542,21.941152263602113,0.5625416285740072,0.6031602794754152
12,7,42.70751499263833,28.97124602015212,28.31954285802035,0.5398221145087393,0.560292500253792
15,1,9.611474585829738,7.299580080944546,7.049433912275924,0.4232126712548149,0.46206668331917344
15,2,16.857077201182868,12.384075058241965,11.748418421405757,0.46028734728178555,0.5142707470066085
15,3,22.925205575327983,16.36597185088734,15.477318772258117,0.49036749250725786,0.5442098060511521
15,5,32.0301017348679,21.213111255604574,20.148883862275277,0.5613762907375115,0.6042824140280412
15,7,37.54740635398479,23.98099239197973,23.568486959107997,0.5920805466232575,0.6059933790115843
