k,silhouette,min_size
2,0.3646557600725475,86
3,0.31634063185320965,30
4,0.2811507278850884,11
5,0.19329430238325726,9
6,0.17394062872290195,10
7,0.1889770160098144,8
8,0.19298294822839213,8
