date,gauge,dwl,dwl_next,nb,z,z_next,z_resid,kind
2013-06-04,1,1.0,-0.7399999999999984,0.41000000000000014,13.489815189531711,-9.982463240253445,13.26498493637332,echoed by neighbours
2016-06-18,1,1.1799999999999997,0.2699999999999996,0.22999999999999954,15.917981923647416,3.6422501011735564,21.35887405009264,isolated step
2016-06-23,1,0.8899999999999988,0.5,0.5899999999999999,12.005935518683208,6.744907594765856,6.744907594766072,echoed by neighbours
2017-07-13,1,0.889999999999997,0.28000000000000114,0.8300000000000001,12.005935518683183,3.7771482530688947,1.3489815189531507,echoed by neighbours
2018-07-09,1,1.1100000000000012,-0.14000000000000057,0.16999999999999993,14.973694860380215,-1.8885741265344473,21.1340437969338,isolated step
2019-07-16,1,0.8599999999999994,0.5700000000000003,0.8699999999999992,11.601241062997264,7.689194658033079,-0.2248302531588651,echoed by neighbours
2021-06-20,1,1.2300000000000004,1.1499999999999986,1.0,16.59247268312401,15.51328746796145,5.171095822654017,echoed by neighbours
2021-06-21,1,1.1499999999999986,0.6000000000000014,0.8699999999999992,15.51328746796145,8.093889113719046,6.295247088448342,echoed by neighbours
2024-06-29,1,1.1100000000000012,-0.19000000000000128,0.6500000000000004,14.973694860380215,-2.5630648860110425,10.342191645308034,echoed by neighbours
2025-06-05,1,0.8599999999999994,0.2400000000000002,0.5300000000000011,11.601241062997264,3.2375556454876135,7.419398354242667,echoed by neighbours
2011-06-27,2,1.3100000000000005,0.5999999999999996,0.9400000000000004,22.08957237285799,10.117361392148688,12.478079050316865,echoed by neighbours
2011-07-03,2,0.7099999999999991,0.7800000000000011,0.5949999999999998,11.972210980709272,13.152569809793322,3.878321866990353,echoed by neighbours
2011-07-04,2,0.7800000000000011,0.5999999999999996,0.705000000000001,13.152569809793322,10.117361392148688,2.5293403480372074,echoed by neighbours
2013-06-23,2,0.8899999999999988,0.9500000000000011,0.6899999999999995,15.007419398353875,16.019155537568782,6.744907594765847,echoed by neighbours
2013-06-24,2,0.9500000000000011,0.4800000000000004,0.6500000000000004,16.019155537568782,8.093889113718962,10.11736139214883,echoed by neighbours
2014-06-26,2,0.6899999999999995,0.17999999999999972,0.4249999999999998,11.63496560097099,3.0352084176446033,8.937002563064768,echoed by neighbours
2016-06-19,2,0.7900000000000009,0.27999999999999936,0.6499999999999995,13.321192499662462,4.721435316336047,4.721435316336159,echoed by neighbours
2016-06-24,2,0.9799999999999986,0.8500000000000014,0.665,16.525023607176177,14.332928638877341,10.6232294617562,echoed by neighbours
2016-06-25,2,0.8500000000000014,0.27999999999999936,0.5650000000000004,14.332928638877341,4.721435316336047,9.611493322541401,echoed by neighbours
2017-07-12,2,0.7200000000000006,0.8300000000000001,0.6950000000000021,12.140833670578443,13.995683259139028,0.843113449345686,echoed by neighbours
2017-07-13,2,0.8300000000000001,0.4499999999999993,0.7949999999999982,13.995683259139028,7.588021044111509,1.180358829084092,echoed by neighbours
2019-07-15,2,0.7300000000000004,0.8699999999999992,0.7749999999999995,12.309456360447586,14.670174018615594,-1.5176042088222885,echoed by neighbours
2019-07-16,2,0.8699999999999992,0.5600000000000005,0.8699999999999992,14.670174018615594,9.442870632672122,0.0,echoed by neighbours
2021-06-20,2,1.0,0.8699999999999992,1.04,16.86226898691449,14.670174018615594,-1.3489815189531753,echoed by neighbours
2021-06-21,2,0.8699999999999992,0.6899999999999995,0.9649999999999999,14.670174018615594,11.63496560097099,-3.2038311075138104,echoed by neighbours
2021-06-22,2,0.6899999999999995,0.2599999999999998,0.6700000000000008,11.63496560097099,4.384189936597764,0.6744907594765428,echoed by neighbours
2024-06-21,2,0.6999999999999993,0.41999999999999993,0.6749999999999998,11.80358829084013,7.082152974504084,0.8431134493457159,echoed by neighbours
2025-06-26,2,0.7100000000000009,0.3999999999999986,0.6299999999999999,11.972210980709303,6.744907594765772,2.697963037906381,echoed by neighbours
2011-06-27,3,1.0999999999999996,0.40000000000000036,1.0550000000000006,18.548495885605934,6.744907594765802,1.5176042088223392,echoed by neighbours
2011-07-04,3,0.7099999999999991,0.5400000000000009,0.7200000000000006,11.972210980709272,9.10562525293384,-0.3372453797383575,echoed by neighbours
