regime,days,mean_run_days,p_warning_3d,share_Before,share_During,share_After,peak_month,name
0,1689,7.0966386554621845,0.0,0.32565055762081785,0.3191181785327069,0.2868277474668745,12,Dry-season low
1,1306,5.244979919678715,0.0,0.23271375464684016,0.2537043729671124,0.22681215900233828,4,Pre-monsoon rise
2,360,4.186046511627907,0.225,0.06319702602230483,0.0701120346946151,0.06313328137178488,6,Monsoon rising limb
3,919,6.909774436090226,0.12404787812840043,0.15315985130111523,0.1597397903867004,0.2112236944660951,10,Post-monsoon recession
4,1121,6.479768786127168,0.41659232827832293,0.22527881040892192,0.1973256234188652,0.21200311769290725,8,Flood high water
