features,balanced_accuracy,macro_f1,days
Flow and season only,0.4343692849993814,0.4212546063047011,5409
+ reach water-surface drops,0.6628115727448567,0.6540386719242249,5409
Reach drops only,0.6896527956572435,0.6774272458425021,5409
