,PC1,PC2
annual_amplitude_m,0.460502832969958,0.06414219727279852
daily_change_sd_cm,0.3547397378921392,-0.2283994471965414
change_memory_acf1,0.2714516088214951,0.6238720971383114
tidal_range_m,-0.3740752932479094,-0.43552616651094134
peak_timing_sin,-0.30562340668065957,0.3960352427216571
peak_timing_cos,0.3908616898987791,-0.21298199318475292
warning_share,-0.183657151944715,0.4032111199096981
rise_p99_cm,0.41057286982277114,-0.005965369098035106
