type,days,mean_rain_mm,g10_rise3_cm,g10_p_rise30,g12_rise3_cm,g12_p_rise30
No rain (<= 1 mm everywhere),528,0.004332386363636363,-3.7613636363636362,0.13636363636363635,-1.4526515151515147,0.11174242424242424
T1,1391,4.958483105679368,2.4672897196261685,0.16534867002156722,1.9906542056074772,0.12005751258087707
T2,746,20.883327747989277,7.757372654155495,0.20107238605898123,3.2761394101876666,0.13672922252010725
