target,same_day,n_points,n_features,history_years,n_train,model,PI,rmse_cm
12,True,2,23,5.0,1568,Ridge,0.7595934521293817,4.782143056751084
12,True,2,23,5.0,1568,Gradient boosting,0.43413650023058226,7.336775975479933
12,True,2,23,8.0,2460,Ridge,0.7612347888636818,4.765790444492108
12,True,2,23,8.0,2460,Gradient boosting,0.5039305069376103,6.869429608468991
12,True,2,23,11.0,3313,Ridge,0.7639932594805661,4.7381807190659595
12,True,2,23,11.0,3313,Gradient boosting,0.5431594907376794,6.592220435396591
12,True,3,31,0.5,176,Ridge,0.5942010367382817,6.213050509596673
12,True,3,31,0.5,176,Gradient boosting,-0.10437168522848683,10.249603123816978
12,True,3,31,1.0,357,Ridge,0.6832521486091656,5.489164632898814
12,True,3,31,1.0,357,Gradient boosting,0.17894014499510824,8.83765058426411
12,True,3,31,2.0,534,Ridge,0.7055887269849903,5.292082857342379
12,True,3,31,2.0,534,Gradient boosting,0.17920220755286465,8.836240088953504
12,True,3,31,3.0,838,Ridge,0.7420140756661724,4.9539021428438055
12,True,3,31,3.0,838,Gradient boosting,0.3479657331466798,7.875617725372304
12,True,3,31,5.0,1568,Ridge,0.7553181905247742,4.824477212730621
12,True,3,31,5.0,1568,Gradient boosting,0.4192971813682036,7.432353964975552
12,True,3,31,8.0,2460,Ridge,0.7521344025593866,4.855763700107383
12,True,3,31,8.0,2460,Gradient boosting,0.4757888954438888,7.061590445197422
12,True,3,31,11.0,3313,Ridge,0.7506133444556986,4.870639911882277
12,True,3,31,11.0,3313,Gradient boosting,0.5033596004685552,6.873381347232186
12,True,4,39,0.5,176,Ridge,0.5897636018102312,6.246928179600336
12,True,4,39,0.5,176,Gradient boosting,-0.17517065254683306,10.573040270400675
12,True,4,39,1.0,357,Ridge,0.6862872147653453,5.462802845585737
12,True,4,39,1.0,357,Gradient boosting,0.17808214848509696,8.842266991580958
12,True,4,39,2.0,534,Ridge,0.7098261251902787,5.25386092302221
12,True,4,39,2.0,534,Gradient boosting,0.18368004617656186,8.812104199618311
12,True,4,39,3.0,838,Ridge,0.748195849464204,4.894190389434204
12,True,4,39,3.0,838,Gradient boosting,0.34498353483603494,7.893607470066039
12,True,4,39,5.0,1568,Ridge,0.7585051667813116,4.792954866460651
12,True,4,39,5.0,1568,Gradient boosting,0.4094352201721898,7.49519936476665
12,True,4,39,8.0,2460,Ridge,0.7559213145914934,4.818527539509833
12,True,4,39,8.0,2460,Gradient boosting,0.4587493774708129,7.175441401746502
12,True,4,39,11.0,3313,Ridge,0.7549223944154261,4.828377661511845
12,True,4,39,11.0,3313,Gradient boosting,0.49784781960515045,6.9114169551625135
12,True,6,55,0.5,176,Ridge,0.11372859035869054,9.181904839624874
