target,era,n,x50_m,warn_share
12,Before,1425,-0.5844356323183806,0.18666666666666668
12,During,2769,-0.11784206268210604,0.11014806789454677
12,After,1285,0.08175057229174582,0.04124513618677043
13,Before,1418,-0.3351737290803706,0.14527503526093088
13,During,2769,0.0409256876882144,0.09064644275911882
13,After,1285,0.1290456190948519,0.03501945525291829
