target,feature_set,model,split,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon
Baruria,C,tgcn,test,0.045398526774956025,0.03131386351420229,0.9995401085773449,0.790735496948724,0.04067814974097059,1096,369
Baruria,C,custom,test,0.028550828770515537,0.02106988246255221,0.9998181098299792,0.9172344728250117,0.028864165324415728,1096,369
Bhagyakul,C,tgcn,test,0.05999049809373845,0.04234474055533032,0.9983968342936806,0.6216740769780563,0.052732331921475195,1096,369
Bhagyakul,C,custom,test,0.047143127562892115,0.03449235502343172,0.9990099656555582,0.7663649766783762,0.038943243013430204,1096,369
Sureswar,C,tgcn,test,0.0957994996057208,0.06765253021261171,0.991897752820138,0.17194632812427035,0.08444868346232481,1088,361
Sureswar,C,custom,test,0.061427741518089565,0.038913058205433504,0.9966687432730615,0.6595439137479984,0.05147186596090903,1088,361
