target,model,seed,epoch,train_mse_scaled,val_rmse_m,improved
Baruria,tgcn,20260913,1,1.001260236584813,0.12093472432077168,True
Baruria,tgcn,20260913,2,0.990296287494162,0.12011161882047708,True
Baruria,tgcn,20260913,3,0.9697052923315355,0.11766325937927215,True
Baruria,tgcn,20260913,4,0.8984498609922243,0.11109613678525539,True
Baruria,tgcn,20260913,5,0.7945570982081848,0.10385516196673772,True
Baruria,tgcn,20260913,6,0.7019800289570296,0.10036885000509879,True
Baruria,tgcn,20260913,7,0.6499173127827672,0.09771285916895642,True
Baruria,tgcn,20260913,8,0.6220911662095701,0.10315838491413873,False
Baruria,tgcn,20260913,9,0.5845934493985019,0.09266442022759384,True
Baruria,tgcn,20260913,10,0.5540147541945988,0.09094431510254178,True
Baruria,tgcn,20260913,11,0.5254274370301141,0.0893132100049989,True
Baruria,tgcn,20260913,12,0.5172621308857676,0.09234155748547809,False
Baruria,tgcn,20260913,13,0.5152408527960922,0.08901110971889246,True
Baruria,tgcn,20260913,14,0.5081861341895562,0.0947478955892457,False
Baruria,tgcn,20260913,15,0.506982477093405,0.0939346402825889,False
Baruria,tgcn,20260913,16,0.5152664774859596,0.09256848736591561,False
Baruria,tgcn,20260913,17,0.49897070805219734,0.09262310413799553,False
Baruria,tgcn,20260913,18,0.4980351231337817,0.09315670060090929,False
Baruria,tgcn,20260913,19,0.4983464539716728,0.09221803807725834,False
Baruria,tgcn,20260913,20,0.5023107396451649,0.09310852767478744,False
Baruria,tgcn,20260913,21,0.49825115929619984,0.08888218170283817,True
Baruria,tgcn,20260913,22,0.4969152156730235,0.09306766683557696,False
Baruria,tgcn,20260913,23,0.5083983989233989,0.09344818316678,False
Baruria,tgcn,20260913,24,0.4925810809927767,0.096869298791407,False
Baruria,tgcn,20260913,25,0.4939417065251388,0.0932693583613871,False
Baruria,tgcn,20260913,26,0.48728268377880946,0.09383124285185154,False
Baruria,tgcn,20260913,27,0.4904199910962686,0.09068741954451755,False
Baruria,tgcn,20260913,28,0.4868722802341218,0.09213050708203008,False
Baruria,tgcn,20260913,29,0.4844427272933795,0.08988492376236253,False
Baruria,tgcn,20260913,30,0.4968057517159068,0.09335258295943076,False
Baruria,tgcn,20260913,31,0.49110493649538284,0.09166045245663189,False
Baruria,tgcn,20260913,32,0.4930520857204457,0.09241990300344197,False
Baruria,tgcn,20260913,33,0.4914844399343399,0.09236108573441637,False
Baruria,tgcn,20260913,34,0.48439039849025983,0.09250698347579196,False
Baruria,tgcn,20260913,35,0.48652800128713963,0.09359766956632676,False
Baruria,tgcn,20260913,36,0.4898944735221189,0.09181369710951263,False
Baruria,tgcn,20260913,37,0.48280907290743946,0.0981278798334124,False
Baruria,tgcn,20260913,38,0.5003962714147467,0.096711476084027,False
Baruria,tgcn,20260913,39,0.4890850555166319,0.09353939467071863,False
Baruria,tgcn,20260913,40,0.48074289728175323,0.09110390498736325,False
Baruria,tgcn,20260913,41,0.4873615685921222,0.089187305090158,False
Baruria,tgcn,20260913,42,0.48781246323798527,0.09286565944143338,False
Baruria,tgcn,20260913,43,0.4828872670409113,0.091497166406921,False
Baruria,tgcn,20260913,44,0.4820378258478019,0.09265830238729963,False
Baruria,tgcn,20260913,45,0.4769848959704306,0.09254501365989298,False
Baruria,tgcn,20260913,46,0.4831907636281626,0.09622774766691086,False
Baruria,tgcn,20260913,47,0.48001453959614426,0.09261250951127846,False
Baruria,tgcn,20260913,48,0.486346611687326,0.09248330755450247,False
Baruria,tgcn,20260913,49,0.4817477699550228,0.09689822640547391,False
Baruria,tgcn,20260913,50,0.4795589691521069,0.09244627363738248,False
Baruria,tgcn,20260913,51,0.48198888606259443,0.09150338495113888,False
Baruria,tgcn,20260914,1,1.0025892485818078,0.12096276799156513,True
Baruria,tgcn,20260914,2,0.9953713243618639,0.12059263674850985,True
Baruria,tgcn,20260914,3,0.9842428298216732,0.11971003198717127,True
Baruria,tgcn,20260914,4,0.9644474692658431,0.11705942171833106,True
Baruria,tgcn,20260914,5,0.9047996955733986,0.11156976572269588,True
Baruria,tgcn,20260914,6,0.7829123678935679,0.10310506924325391,True
Baruria,tgcn,20260914,7,0.7313117387789165,0.10159746907509748,True
Baruria,tgcn,20260914,8,0.6598508964662929,0.09635973102055662,True
Baruria,tgcn,20260914,9,0.6081269250475961,0.0955176919279953,True
Baruria,tgcn,20260914,10,0.5599825866014404,0.0932063655453438,True
Baruria,tgcn,20260914,11,0.5418692322213449,0.09423905435084949,False
Baruria,tgcn,20260914,12,0.5200744914821437,0.09033067278292649,True
Baruria,tgcn,20260914,13,0.5121055803124795,0.09528410436396555,False
Baruria,tgcn,20260914,14,0.5121553955825117,0.0893611327105176,True
Baruria,tgcn,20260914,15,0.508734326833258,0.09396785941897633,False
Baruria,tgcn,20260914,16,0.5106083495970258,0.08932559587984922,True
Baruria,tgcn,20260914,17,0.5036901150302444,0.09109451525020536,False
Baruria,tgcn,20260914,18,0.5060864657820296,0.09468073324126304,False
Baruria,tgcn,20260914,19,0.4978001735252158,0.0942682578575667,False
Baruria,tgcn,20260914,20,0.49949690876790054,0.09143724791806497,False
Baruria,tgcn,20260914,21,0.49319109969221137,0.09177432073633973,False
Baruria,tgcn,20260914,22,0.4995991708539312,0.0924129491900151,False
Baruria,tgcn,20260914,23,0.5005641501276579,0.08876658646975166,True
Baruria,tgcn,20260914,24,0.5049050927360073,0.09058216159448063,False
Baruria,tgcn,20260914,25,0.49559705915621605,0.09062319656186962,False
Baruria,tgcn,20260914,26,0.4955053721044922,0.0933650832919506,False
Baruria,tgcn,20260914,27,0.49951545511384476,0.09070084947231248,False
Baruria,tgcn,20260914,28,0.49257655534865163,0.09304022015278945,False
Baruria,tgcn,20260914,29,0.49191187306397494,0.09577766769346951,False
Baruria,tgcn,20260914,30,0.48854776644793085,0.09026399026948738,False
Baruria,tgcn,20260914,31,0.4910550416595368,0.09078962301943587,False
Baruria,tgcn,20260914,32,0.49955934720153794,0.09312220365203881,False
Baruria,tgcn,20260914,33,0.49241377484787635,0.08934540861921715,False
Baruria,tgcn,20260914,34,0.4925713902274684,0.0915872749805162,False
Baruria,tgcn,20260914,35,0.48977114495430835,0.08909594202717684,False
Baruria,tgcn,20260914,36,0.4888988168819628,0.09318784394868328,False
Baruria,tgcn,20260914,37,0.4901057695860306,0.09113957007754782,False
Baruria,tgcn,20260914,38,0.49066382160799904,0.08858516354853195,True
Baruria,tgcn,20260914,39,0.48729527003809003,0.09390842149962879,False
Baruria,tgcn,20260914,40,0.4899480625325879,0.09182915946044129,False
Baruria,tgcn,20260914,41,0.49567425569450246,0.08871729287313723,False
Baruria,tgcn,20260914,42,0.4854999809170863,0.0899484841616647,False
Baruria,tgcn,20260914,43,0.49417671108763994,0.08978852072377318,False
Baruria,tgcn,20260914,44,0.483037455219392,0.09256792652560507,False
Baruria,tgcn,20260914,45,0.4916651187941922,0.09115813102066578,False
Baruria,tgcn,20260914,46,0.4858364581638976,0.08876329125686071,False
Baruria,tgcn,20260914,47,0.4870020598757854,0.09272590834407876,False
Baruria,tgcn,20260914,48,0.48876076452760153,0.0955298678483585,False
Baruria,tgcn,20260914,49,0.48903652099983014,0.0920453325491682,False
Baruria,tgcn,20260914,50,0.4820137282818277,0.09306574899629894,False
Baruria,tgcn,20260914,51,0.4878575685626605,0.08922000258567075,False
Baruria,tgcn,20260914,52,0.4845774120033021,0.09172316888613569,False
Baruria,tgcn,20260914,53,0.48382831343055815,0.09349801181206314,False
Baruria,tgcn,20260914,54,0.4844618679766132,0.08970035504350951,False
Baruria,tgcn,20260914,55,0.49047160069459594,0.0906118016373941,False
Baruria,tgcn,20260914,56,0.4815968563648066,0.0902193095860764,False
Baruria,tgcn,20260914,57,0.482976216511391,0.09001960595960921,False
Baruria,tgcn,20260914,58,0.49100545404038687,0.09161092515582694,False
Baruria,tgcn,20260914,59,0.48197353736281284,0.0900147700349441,False
Baruria,tgcn,20260914,60,0.4807217384874371,0.09370979369971985,False
Baruria,tgcn,20260914,61,0.48642554781136826,0.09505739269989667,False
Baruria,tgcn,20260914,62,0.48262871214892256,0.09168264909432969,False
Baruria,tgcn,20260914,63,0.4782557011532201,0.09116858780197429,False
Baruria,tgcn,20260914,64,0.4808104034100563,0.08906585165953261,False
Baruria,tgcn,20260914,65,0.4912422366402065,0.08980858311948983,False
Baruria,tgcn,20260914,66,0.47710371551792896,0.09076018685298957,False
Baruria,tgcn,20260914,67,0.48284398617968977,0.09185676317726481,False
Baruria,tgcn,20260914,68,0.4757944874413741,0.09142663498774961,False
Baruria,tgcn,20260915,1,1.004238772331103,0.12101183557129007,True
Baruria,tgcn,20260915,2,0.9908817664324032,0.12017129907520903,True
Baruria,tgcn,20260915,3,0.9684565447803858,0.11786293743260182,True
Baruria,tgcn,20260915,4,0.9119042685627038,0.11151564112401602,True
Baruria,tgcn,20260915,5,0.7971223934050092,0.10163094792793799,True
Baruria,tgcn,20260915,6,0.687420236391493,0.0984780683910683,True
Baruria,tgcn,20260915,7,0.6207845285152547,0.0936080893636666,True
Baruria,tgcn,20260915,8,0.5694419702409871,0.08954467271771203,True
Baruria,tgcn,20260915,9,0.5346321344303646,0.0917773706347919,False
Baruria,tgcn,20260915,10,0.5166260583898001,0.09368683891558575,False
Baruria,tgcn,20260915,11,0.5299168048112226,0.08691206958076571,True
Baruria,tgcn,20260915,12,0.5197907270638201,0.09145972894324053,False
Baruria,tgcn,20260915,13,0.5045010977521103,0.09059459918995424,False
Baruria,tgcn,20260915,14,0.4972258633423744,0.08893394698715903,False
Baruria,tgcn,20260915,15,0.5081749510142582,0.0909423338634896,False
Baruria,tgcn,20260915,16,0.49755660257165324,0.08969284176546932,False
Baruria,tgcn,20260915,17,0.5074424182868529,0.09078597774667496,False
Baruria,tgcn,20260915,18,0.49432096387229585,0.09391696915884272,False
Baruria,tgcn,20260915,19,0.4917376922528405,0.09134299415413441,False
Baruria,tgcn,20260915,20,0.4913516837486212,0.08819218322729543,False
Baruria,tgcn,20260915,21,0.49346757566608623,0.0885742285636345,False
Baruria,tgcn,20260915,22,0.49257700001765264,0.09185548034509027,False
Baruria,tgcn,20260915,23,0.49143541449331785,0.08995542809041927,False
Baruria,tgcn,20260915,24,0.4932723367750339,0.0907899346228041,False
Baruria,tgcn,20260915,25,0.48827878514194,0.09501973972527077,False
Baruria,tgcn,20260915,26,0.49114575493634377,0.09358503207740025,False
Baruria,tgcn,20260915,27,0.48940399621967245,0.08911190242644283,False
Baruria,tgcn,20260915,28,0.4867015580756046,0.09077125394084795,False
Baruria,tgcn,20260915,29,0.4862465497557217,0.08898396291363374,False
Baruria,tgcn,20260915,30,0.4849856840747381,0.09151793881570469,False
Baruria,tgcn,20260915,31,0.48139370086417616,0.09340778680753889,False
Baruria,tgcn,20260915,32,0.4830904342312846,0.09389423504003278,False
Baruria,tgcn,20260915,33,0.492658046637278,0.09197857293816646,False
Baruria,tgcn,20260915,34,0.4886532314245412,0.0902286964723652,False
Baruria,tgcn,20260915,35,0.4914689980764386,0.09082348887843969,False
Baruria,tgcn,20260915,36,0.4833716447354083,0.09275132926193763,False
Baruria,tgcn,20260915,37,0.4770485944539947,0.09177130140706814,False
Baruria,tgcn,20260915,38,0.4941560801263666,0.09130419431756348,False
Baruria,tgcn,20260915,39,0.4939856279878648,0.08893340796305953,False
Baruria,tgcn,20260915,40,0.48560724291166724,0.08895848887493252,False
Baruria,tgcn,20260915,41,0.48132378258735364,0.08903784936604169,False
