target,span,model,seed,window,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,train_rows,pi_lo,pi_hi
Bhagyakul,S6,persistence,none,own,0.09554596934494154,0.07096774193548376,0.9121089836580616,0.0,0.09554596934494154,31,31,,,
Bhagyakul,S6,ridge,20260913,own,0.14514602198079068,0.1396371561047036,0.7971710137304431,-1.3077328572519211,0.14514602198079068,31,31,128.0,-1.5101662686509703,-1.2881291452556236
Bhagyakul,S6,ridge,20260913,common,0.14514602198079068,0.1396371561047036,0.7971710137304431,-1.3077328572519211,0.14514602198079068,31,31,128.0,-1.5101662686509703,-1.2881291452556236
Bhagyakul,S6,tgcn,mean,own,0.10022888551723994,0.08193342607250777,0.903282391923615,-0.10042655213027518,0.10022888551723994,31,31,128.0,-0.10042655213027496,-0.03601962765581557
Bhagyakul,S6,tgcn,mean,common,0.10022888551723994,0.08193342607250777,0.903282391923615,-0.10042655213027518,0.10022888551723994,31,31,128.0,-0.10042655213027496,-0.03601962765581557
Bhagyakul,S6,custom,mean,own,0.09873777946912941,0.07965902433661341,0.906138723343073,-0.06792799268313665,0.09873777946912941,31,31,128.0,-0.06792799268313687,-0.009489070723157855
Bhagyakul,S6,custom,mean,common,0.09873777946912941,0.07965902433661341,0.906138723343073,-0.06792799268313665,0.09873777946912941,31,31,128.0,-0.06792799268313687,-0.009489070723157855
Bhagyakul,S6,lstm,mean,own,0.1023805902057903,0.08770080035721374,0.8990851677663337,-0.14818142324192607,0.1023805902057903,31,31,128.0,-0.14818142324192607,-0.0804135743376555
Bhagyakul,S6,lstm,mean,common,0.1023805902057903,0.08770080035721374,0.8990851677663337,-0.14818142324192607,0.1023805902057903,31,31,128.0,-0.14818142324192607,-0.0804135743376555
Bhagyakul,S12,persistence,none,own,0.1378956757527383,0.0995652173913043,0.9915605282502892,0.0,0.09701646830281553,92,41,,,
Bhagyakul,S12,persistence,none,common,0.09554596934494154,0.07096774193548376,0.9121089836580616,0.0,0.09554596934494154,31,31,,,
Bhagyakul,S12,ridge,20260913,own,0.06721971663648989,0.052403415488667775,0.9979945708485451,0.7623750382808507,0.06443016960193562,92,41,225.0,0.6364260078223761,0.8063938744900166
Bhagyakul,S12,ridge,20260913,common,0.060429123922518715,0.048538745010157,0.9648429569337081,0.599992757740859,0.060429123922518715,31,31,225.0,0.5208252818851682,0.6320325194930781
Bhagyakul,S12,tgcn,mean,own,0.14594316010661698,0.10399566168724798,0.9905467430968148,-0.12012424278913869,0.09976572493056741,92,41,225.0,-0.25459392851298035,-0.10577949175180176
Bhagyakul,S12,tgcn,mean,common,0.09950720895073635,0.07269707572050922,0.9046701664201612,-0.08463683260823629,0.09950720895073635,31,31,225.0,-0.11729776922541935,-0.08463683260823607
Bhagyakul,S12,custom,mean,own,0.1264250661560362,0.08755311895928687,0.9929061770003309,0.15944703530619198,0.08126077168222463,92,41,225.0,0.10587777729218609,0.277646227123637
Bhagyakul,S12,custom,mean,common,0.08269121129985818,0.061989677880597706,0.9341677873302437,0.25097904871600074,0.08269121129985818,31,31,225.0,0.22111190938447745,0.25097904871600085
Bhagyakul,S12,lstm,mean,own,0.14131231846790676,0.10087866468535564,0.9911371374824739,-0.050167922871447335,0.09665567008530472,92,41,225.0,-0.13141542044514395,-0.04359164731749586
Bhagyakul,S12,lstm,mean,common,0.09630165290650682,0.07024459912730092,0.9107132063262213,-0.015880773598179854,0.09630165290650682,31,31,225.0,-0.043261222665003984,-0.01588077359817963
Bhagyakul,S36,persistence,none,own,0.09961798540805658,0.07561452513966478,0.9970189206776894,0.0,0.09270549575450975,358,123,,,
Bhagyakul,S36,persistence,none,common,0.09554596934494154,0.07096774193548376,0.9121089836580616,0.0,0.09554596934494154,31,31,,,
Bhagyakul,S36,ridge,20260913,own,0.049800040144139766,0.037761189219140484,0.9992549980516989,0.7500898608348187,0.05126615423072112,358,123,620.0,0.6638819823839982,0.830770008600678
Bhagyakul,S36,ridge,20260913,common,0.07385367124486676,0.06472526044734599,0.9474873515195096,0.40252541538271824,0.07385367124486676,31,31,620.0,0.3564633406532892,0.40252541538271835
Bhagyakul,S36,tgcn,mean,own,0.06436608803184891,0.046107784234149504,0.9987554502767725,0.5825170722854467,0.060882575397891554,358,123,620.0,0.5270061004074931,0.6480712279160695
Bhagyakul,S36,tgcn,mean,common,0.07193190135043767,0.060388276579046614,0.9501846914242349,0.4332150127612646,0.07193190135043767,31,31,620.0,0.3704832570608292,0.4332150127612645
Bhagyakul,S36,custom,mean,own,0.044161568834019505,0.03150128831183619,0.9994141492242772,0.803476958382723,0.035020331978833426,358,123,620.0,0.7525429025041418,0.846551250611982
Bhagyakul,S36,custom,mean,common,0.03543666334274668,0.026915714986885813,0.9879100253502281,0.8624435675799217,0.03543666334274668,31,31,620.0,0.8509783630931627,0.8624435675799217
Bhagyakul,S36,lstm,mean,own,0.06304078790862833,0.04331387133477084,0.998806173299672,0.5995320582738886,0.04974370230364781,358,123,620.0,0.5094356097380554,0.7172827761817453
Bhagyakul,S36,lstm,mean,common,0.057173675919156654,0.04712495000747171,0.9685288961517248,0.6419303683343767,0.057173675919156654,31,31,620.0,0.6043229213804185,0.6419303683343767
