target,model,seed,epoch,train_mse_scaled,val_rmse_m,improved
Bhagyakul,tgcn,20260913,1,1.0006290180172908,0.09644210889990612,True
Bhagyakul,tgcn,20260913,2,0.9885833861782513,0.09599868927524366,True
Bhagyakul,tgcn,20260913,3,0.9724639697698103,0.09441246351634276,True
Bhagyakul,tgcn,20260913,4,0.9152379746599713,0.08941690519985662,True
Bhagyakul,tgcn,20260913,5,0.7883733985037592,0.08018257454771205,True
Bhagyakul,tgcn,20260913,6,0.6231983565614909,0.0731466581215582,True
Bhagyakul,tgcn,20260913,7,0.4922588306937087,0.06488121802211223,True
Bhagyakul,tgcn,20260913,8,0.43485353676135036,0.0666777423023315,False
Bhagyakul,tgcn,20260913,9,0.4032507825574233,0.06518858341370912,False
Bhagyakul,tgcn,20260913,10,0.3897736054908967,0.06577808905405609,False
Bhagyakul,tgcn,20260913,11,0.38708665615260834,0.06392410156639186,True
Bhagyakul,tgcn,20260913,12,0.3892948326435184,0.06819309617853114,False
Bhagyakul,tgcn,20260913,13,0.3760150550104792,0.06378209653193403,True
Bhagyakul,tgcn,20260913,14,0.37508803908284466,0.07237547688219235,False
Bhagyakul,tgcn,20260913,15,0.37015328985162993,0.06484871382229876,False
Bhagyakul,tgcn,20260913,16,0.3745022100730134,0.07192141070118449,False
Bhagyakul,tgcn,20260913,17,0.36817917298810054,0.061680025910045795,True
Bhagyakul,tgcn,20260913,18,0.37300711946655823,0.06951271150807303,False
Bhagyakul,tgcn,20260913,19,0.37877263408969475,0.07114180685529095,False
Bhagyakul,tgcn,20260913,20,0.371155489527348,0.0697186064393426,False
Bhagyakul,tgcn,20260913,21,0.362351290793927,0.06369931114213313,False
Bhagyakul,tgcn,20260913,22,0.36552880421492256,0.06772023349798682,False
Bhagyakul,tgcn,20260913,23,0.3640922545361224,0.06888623148449145,False
Bhagyakul,tgcn,20260913,24,0.3592919914286337,0.06885251707900651,False
Bhagyakul,tgcn,20260913,25,0.3590779530113282,0.06804009327506402,False
Bhagyakul,tgcn,20260913,26,0.364443101760235,0.06911979512665417,False
Bhagyakul,tgcn,20260913,27,0.3615555116193301,0.07017705452473649,False
Bhagyakul,tgcn,20260913,28,0.3610083191390488,0.06894868172027406,False
Bhagyakul,tgcn,20260913,29,0.357265448294987,0.0659832212253525,False
Bhagyakul,tgcn,20260913,30,0.3600607255309002,0.06965548258418111,False
Bhagyakul,tgcn,20260913,31,0.36395413972552076,0.06693443547041479,False
Bhagyakul,tgcn,20260913,32,0.36512254874331335,0.06757725664330537,False
Bhagyakul,tgcn,20260913,33,0.368823194185341,0.07003923534362301,False
Bhagyakul,tgcn,20260913,34,0.3557153172608844,0.07132671436243658,False
Bhagyakul,tgcn,20260913,35,0.35477779896065725,0.06849601776055537,False
Bhagyakul,tgcn,20260913,36,0.35410377007217303,0.06495023262017537,False
Bhagyakul,tgcn,20260913,37,0.35426127289919707,0.07154727409438894,False
Bhagyakul,tgcn,20260913,38,0.35959093162490274,0.06806013309916284,False
Bhagyakul,tgcn,20260913,39,0.3545324271120336,0.0657887961590818,False
Bhagyakul,tgcn,20260913,40,0.35464467340335365,0.06717901594288969,False
Bhagyakul,tgcn,20260913,41,0.36308479002333105,0.06993256079902056,False
Bhagyakul,tgcn,20260913,42,0.3572785478414742,0.06971743989890233,False
Bhagyakul,tgcn,20260913,43,0.3507226615505495,0.07289981600769932,False
Bhagyakul,tgcn,20260913,44,0.3590729486859532,0.07006162099432381,False
Bhagyakul,tgcn,20260913,45,0.3518631908960512,0.06661750086594899,False
Bhagyakul,tgcn,20260913,46,0.36256143534845575,0.07289543127277566,False
Bhagyakul,tgcn,20260913,47,0.3500404530355227,0.07200443652781738,False
Bhagyakul,tgcn,20260914,1,1.000738339916371,0.0965406825897824,True
Bhagyakul,tgcn,20260914,2,0.9938447409945602,0.09623670130936453,True
Bhagyakul,tgcn,20260914,3,0.984083177638205,0.09533943493764012,True
Bhagyakul,tgcn,20260914,4,0.9654971815976282,0.0931474260263148,True
Bhagyakul,tgcn,20260914,5,0.897605405269776,0.08778362274048108,True
Bhagyakul,tgcn,20260914,6,0.7614574879093038,0.07950492870981037,True
Bhagyakul,tgcn,20260914,7,0.6378933516939062,0.07226892819297363,True
Bhagyakul,tgcn,20260914,8,0.4841141994090157,0.06333004339256407,True
Bhagyakul,tgcn,20260914,9,0.4204294717711262,0.06955235416234684,False
Bhagyakul,tgcn,20260914,10,0.404334609147972,0.07020617227004172,False
Bhagyakul,tgcn,20260914,11,0.39459267324311764,0.06490407548073153,False
Bhagyakul,tgcn,20260914,12,0.3936808359270329,0.06472000235755075,False
Bhagyakul,tgcn,20260914,13,0.3784332090711579,0.06901085029730121,False
Bhagyakul,tgcn,20260914,14,0.37694224552413036,0.06236871114351724,True
Bhagyakul,tgcn,20260914,15,0.37385843592110335,0.06550005135668734,False
Bhagyakul,tgcn,20260914,16,0.370514398897806,0.06862714306603251,False
Bhagyakul,tgcn,20260914,17,0.3695212492239716,0.0722298845657681,False
Bhagyakul,tgcn,20260914,18,0.37474402912138743,0.06869623417728563,False
Bhagyakul,tgcn,20260914,19,0.36559782205770786,0.06773187102400609,False
Bhagyakul,tgcn,20260914,20,0.3627236775498429,0.07056604120560427,False
Bhagyakul,tgcn,20260914,21,0.36112654182150256,0.07232656359998527,False
Bhagyakul,tgcn,20260914,22,0.36732314646226055,0.0651775940011416,False
Bhagyakul,tgcn,20260914,23,0.3624942108759375,0.06418817121770572,False
Bhagyakul,tgcn,20260914,24,0.37536061563018297,0.06406082866156919,False
Bhagyakul,tgcn,20260914,25,0.362414640249387,0.06266632384195427,False
Bhagyakul,tgcn,20260914,26,0.36576692173929326,0.0717884764253938,False
Bhagyakul,tgcn,20260914,27,0.3682906149720412,0.06862293072723971,False
Bhagyakul,tgcn,20260914,28,0.36296519643404745,0.06871748685541759,False
Bhagyakul,tgcn,20260914,29,0.3567396877235133,0.06765334550162029,False
Bhagyakul,tgcn,20260914,30,0.365346566877119,0.06623317576740954,False
Bhagyakul,tgcn,20260914,31,0.3594427094371737,0.06622828112448585,False
Bhagyakul,tgcn,20260914,32,0.37068100255168246,0.0715768488705871,False
Bhagyakul,tgcn,20260914,33,0.3547087767280339,0.06897931804326879,False
Bhagyakul,tgcn,20260914,34,0.3583862422061693,0.06573760223333368,False
