target_id,lag,corr,n
2,0,0.9203550831378848,1844
2,1,0.853940505696052,1829
2,2,0.6887202274953627,1814
2,3,0.5609623019248373,1799
2,4,0.45368757381245894,1784
2,5,0.3394868706156244,1769
2,6,0.2553355159269628,1754
2,7,0.17745811570538866,1739
2,8,0.1134447280288667,1724
2,9,0.07722576993931543,1709
2,10,0.060309811420322386,1694
3,0,0.8929271789529835,1844
3,1,0.8531912734980577,1830
3,2,0.700749875750315,1815
3,3,0.5754749071150757,1800
3,4,0.4709305559553865,1785
3,5,0.36054741046786554,1770
3,6,0.2748391078379986,1755
3,7,0.19055097650072753,1740
3,8,0.13635380313612955,1725
3,9,0.10331429268392875,1710
3,10,0.08509377575650096,1695
4,0,0.7998922048387951,1845
4,1,0.8783544354792914,1830
4,2,0.7432993771795271,1815
4,3,0.5977530541450763,1800
4,4,0.489508353814307,1785
4,5,0.37209418658772997,1770
4,6,0.27348953245159413,1755
4,7,0.1997243492297853,1740
4,8,0.12517961312907586,1725
4,9,0.07294930029282616,1710
4,10,0.05603362933438218,1695
5,0,0.7006110636196848,1845
5,1,0.7755636765818716,1830
5,2,0.7251320221906578,1815
5,3,0.6200514739183288,1800
5,4,0.48785482954529985,1785
5,5,0.3838096372163308,1770
5,6,0.2813666410690044,1755
5,7,0.2148255307790131,1740
5,8,0.15507922726209736,1725
5,9,0.098306847710786,1710
5,10,0.07649982488559885,1695
6,0,0.7401419535192427,1845
6,1,0.8133723831381174,1830
6,2,0.7443763835212276,1815
6,3,0.61555524510193,1800
6,4,0.49459053680127185,1785
6,5,0.3806513909599787,1770
6,6,0.28166641905496226,1755
6,7,0.20776207318252177,1740
6,8,0.13914293311923434,1725
6,9,0.08412579525350146,1710
6,10,0.05869678518909868,1695
7,0,0.7053299128720714,1845
7,1,0.7600339551932788,1830
7,2,0.6907369932752415,1815
7,3,0.5818894938735119,1800
7,4,0.48080901538338344,1785
7,5,0.38313687263477325,1770
7,6,0.2908784108662415,1755
7,7,0.21830045097206158,1740
7,8,0.15211295104922784,1725
7,9,0.0930856127047679,1710
7,10,0.06067705142414966,1695
10,0,0.5623826063642438,1845
10,1,0.6204479269549796,1830
10,2,0.5859968325792363,1815
10,3,0.5114880635160218,1800
10,4,0.43183585084030673,1785
10,5,0.35186327611413015,1770
10,6,0.27586411385411014,1755
10,7,0.2030519815267854,1740
10,8,0.14337059150309406,1725
10,9,0.08605084758902941,1710
10,10,0.04219130243587538,1695
11,0,0.5745727459852109,1845
11,1,0.6298677533990084,1830
11,2,0.5956561818754662,1815
11,3,0.5278586628909295,1800
11,4,0.45204273339602863,1785
11,5,0.36490118520144027,1770
11,6,0.2894625834266488,1755
11,7,0.22649756520915656,1740
11,8,0.15658425734948844,1725
11,9,0.10129178412903729,1710
11,10,0.05068913461409757,1695
12,0,0.48099440836482055,1845
12,1,0.5348589571810809,1830
12,2,0.5211498762853857,1815
12,3,0.4874856512658007,1800
12,4,0.4286100936659104,1785
12,5,0.3706036919452986,1770
12,6,0.30809515486911443,1755
12,7,0.24655167373277098,1740
12,8,0.18523522425642844,1725
12,9,0.1240425759576764,1710
12,10,0.08156132307109032,1695
13,0,0.46905532573645287,1837
13,1,0.5262049026394857,1822
13,2,0.5098422986659414,1807
13,3,0.472248672253145,1792
13,4,0.41693453484423537,1777
13,5,0.366004234156289,1762
13,6,0.30184172131518205,1747
13,7,0.24688016630695522,1732
13,8,0.1888752149093056,1717
13,9,0.12986596414485022,1702
13,10,0.08740052384778561,1687
15,0,0.24946063245943967,1843
15,1,0.2881675290277879,1828
15,2,0.29307997509674594,1813
15,3,0.30764794986853927,1798
15,4,0.28767625066577185,1783
15,5,0.270926910914216,1768
15,6,0.2525744003213007,1753
15,7,0.21576632543691662,1738
15,8,0.1781746690827952,1723
15,9,0.12629649391040212,1708
15,10,0.10412734499335964,1693
