k,model,delta_pi
3,ridge,-0.0024459208438508684
3,tgcn,-0.00046168004915503325
3,lstm,0.011772597440584787
3,custom,-0.009203306884457918
10,ridge,-0.00024995271908534455
10,tgcn,0.018573454330660266
10,lstm,-0.013435383012694646
10,custom,0.009920158162031845
