target,model,seed,epoch,train_mse_scaled,val_rmse_m,improved
Sureswar,tgcn,20260913,1,0.999543328182594,0.09018701167969871,True
Sureswar,tgcn,20260913,2,0.9909398170918109,0.08976198764615674,True
Sureswar,tgcn,20260913,3,0.9682188134512854,0.08770856284894818,True
Sureswar,tgcn,20260913,4,0.9009192722173993,0.08323175742893928,True
Sureswar,tgcn,20260913,5,0.7574035346273149,0.07424512311797772,True
Sureswar,tgcn,20260913,6,0.5973553567103957,0.07953823878299292,False
Sureswar,tgcn,20260913,7,0.5325659227194155,0.08424160510285059,False
Sureswar,tgcn,20260913,8,0.510976265184299,0.07326875699508216,True
Sureswar,tgcn,20260913,9,0.48608249550553734,0.06979915529422727,True
Sureswar,tgcn,20260913,10,0.48031334448453333,0.07407297073576638,False
Sureswar,tgcn,20260913,11,0.47966200695973016,0.0760649280129228,False
Sureswar,tgcn,20260913,12,0.4833544217192357,0.07763551351542154,False
Sureswar,tgcn,20260913,13,0.47362124823230295,0.07793723058090642,False
Sureswar,tgcn,20260913,14,0.47166445460164863,0.07792061310418849,False
Sureswar,tgcn,20260913,15,0.46765794808953487,0.07448339334441248,False
Sureswar,tgcn,20260913,16,0.46756827913475385,0.07106781389573899,False
Sureswar,tgcn,20260913,17,0.47261052221628924,0.07497206375440585,False
Sureswar,tgcn,20260913,18,0.46580244233551155,0.07648364369211125,False
Sureswar,tgcn,20260913,19,0.46403406578036793,0.0862900102536261,False
Sureswar,tgcn,20260913,20,0.46398335613963027,0.07777906908978413,False
Sureswar,tgcn,20260913,21,0.4659658765550742,0.07609360539466267,False
Sureswar,tgcn,20260913,22,0.45726064633025876,0.08260774813908088,False
Sureswar,tgcn,20260913,23,0.46389693345182337,0.07911365651343058,False
Sureswar,tgcn,20260913,24,0.4683726166424949,0.07614356454279167,False
Sureswar,tgcn,20260913,25,0.46172248259317733,0.0728989613578118,False
Sureswar,tgcn,20260913,26,0.46017429789979375,0.08390511897535219,False
Sureswar,tgcn,20260913,27,0.45770926974548937,0.08086114354382397,False
Sureswar,tgcn,20260913,28,0.45573269169993313,0.07360231809575436,False
Sureswar,tgcn,20260913,29,0.45906977995520976,0.07886898600437163,False
Sureswar,tgcn,20260913,30,0.4636874744190379,0.08248769516155934,False
Sureswar,tgcn,20260913,31,0.4589659788367169,0.08088147913893436,False
Sureswar,tgcn,20260913,32,0.4560463302295907,0.07233052665675219,False
Sureswar,tgcn,20260913,33,0.457519677325645,0.07555444721974144,False
Sureswar,tgcn,20260913,34,0.47719903941153036,0.0825140508446463,False
Sureswar,tgcn,20260913,35,0.45410797104722767,0.08232576739400592,False
